NEWPORT-CLEPPA-PARK-EHS,,,,,,,,,,
Grid ref,ST279849,Long,-3.0414196,Lat,51.558354,Elevation,75,ft.,,
Station no,4004/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.11,2.83,3.72,4.97,5.07,4.31,4.79,5.15
February,,,1.89,4.29,1.82,0.25,5.14,5.38,0.4,3.33
March,,,1.54,4.05,1.6,0.98,5.21,1.07,3.45,2.38
April,,,4.16,0.72,1.88,1.73,0.1,0.88,3.14,3.14
May,,,3.18,1.98,5.56,1.39,1.97,4.45,1.69,1.22
June,,,1.81,5.39,4.36,2.48,1.06,3.04,1.55,1.9
July,,,4.79,3.5,0.14,2.93,4.86,4.75,4.4,4.98
August,,,5.21,3.87,0.75,4.39,3.29,4.22,1.85,4.56
September,,,5.1,5.39,2.17,5.2,4.7,6.62,0.22,5.56
October,,5.47,3.52,5.73,2.08,1.78,4.96,3.29,4.38,9.07
November,,4.97,2.93,8.53,4.24,0.96,2.48,2.21,4.99,8.71
December,,,1.44,3.36,5.79,4.6,2.95,4,8.46,6.42
Total,,,36.68,49.64,34.11,31.66,41.79,44.22,39.32,56.42
,,,,,,,,,,
NGR is from the 1950s record and is near to a building called Cleppa Park. Altitudes match,,,,,,,,,,
"EHS = Experimental Horticultural Station, which is apparently located at Cleppa Park but not found on maps",,,,,,,,,,
