WEYBRIDGE-ST-MARYS-LODGE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ075630,Long,-0.45754755,Lat,51.355913,Elevation,100,ft.,,,,,,,,,,,,
Station no,RR8510,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,0.75,1.77,0.87,2.72,2.9,1.17,0.83,2.63,,,,,,
February,,,,,,,0.28,2.49,1.51,2.41,4.11,1.19,0.9,1.03,,,,,,
March,,,,,,,3.12,3,1.39,0.48,1.14,1.98,1.8,2.58,,,,,,
April,,,,,,,0.61,1.75,0.86,2.61,0.92,2.15,0.92,2.03,,,,,,
May,,,,,,,0.32,1.08,3.28,1.68,1.2,0.45,2.2,2.23,,,,,,
June,,,,,,,2.66,4.56,1.46,1.55,2.58,1.53,4.54,6.73,,,,,,
July,,,,,,,1.08,1.03,0.99,0.9,1.05,1.59,1.23,3.85,,,,,,
August,,,,,,,1.92,2.25,1.5,1.1,2.61,1.88,4.41,3.79,,,,,,
September,,,,,,,6.3,2.23,0.81,2.85,0.65,1.18,3.8,3.6,,,,,,
October,,,,,,,2.87,0.98,3.63,2.45,2.08,1.68,1.8,6.31,,,,,,
November,,,,,,,1.33,1.17,2.91,4.35,2.2,0.56,1.89,1.88,,,,,,
December,,,,,,,3.21,2.58,2.57,1.34,2.42,3.35,1.07,1.94,,,,,,
Total,,,,,,,24.45,24.89,21.78,24.44,23.86,18.71,25.39,38.6,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is between Abbylands and The Ferns, which an earlier census stated St Marys Lodge was between. ",,,,,,,,,,,,,,,,,,,,
Altitudes match but distance from church is 1 miles versus 0.5 miles quoted.,,,,,,,,,,,,,,,,,,,,
"1911 census suggests that St Marys Lodge is in Pine Grove but does not menton the observer, W Talbot Agar. Pine Grove is 1.3km NNE.",,,,,,,,,,,,,,,,,,,,
"I can find many references to the observer, W Talbot Agar, living at St Marys Lodge, Weybridge but no street name.",,,,,,,,,,,,,,,,,,,,
