CARDIFF-WW-LLWYNON-RES-OLD-GAUGE-NO1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO012113,Long,-3.4339259,Lat,51.791598,Elevation,860,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,4148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,3.29,,,,,,,,,,,8.74,8.55,5.89,3.91,5.97,6.73,8.41,7.49,11.96,2.63,
February,,,,,,,,,,1.03,,,,,,,,,,,3.72,0.2,7.21,12.96,0.53,11.18,5.27,5.44,7.22,1.77,
March,,,,,,,,,,5.57,,,,,,,,,,,7.2,7.14,6.64,1.78,2.74,1.09,1.68,6.33,5.78,0.82,
April,,,,,,,,,,4.67,,,,,,,,,,,9.27,1.17,4.64,3.59,5.22,4.66,3.36,2.21,2.02,,
May,,,,,,,,,,2.28,,,,,,,,,,,4.02,1.97,1.32,3.37,4.78,7.06,3.36,2.5,0.95,,
June,,,,,,,,,,3.87,,,,,,,,,,,4.17,0.37,2.08,0.86,2.94,0,2.5,5.52,5.72,,
July,,,,,,,,,,4.84,,,,,,,,,,,7.39,2.89,5.84,3.72,6.16,2.93,3.32,5.62,3.75,,
August,,,,,,,,,,2.77,,,,,,,,,,,2.51,5.85,3.99,4.04,6.17,5.28,5.54,10.76,5.2,,
September,,,,,,,,,,5.07,,,,,,,,,,,5.06,2.93,4.24,3.72,9,5.18,2.72,7.6,2.01,,
October,,,,,,,,,,10.99,,,,,,,,,,,5.2,2.13,1.63,9.43,7.67,8.06,5.51,6.28,12.14,,
November,,,,,,,,,,2.71,,,,,,,,,,,3.31,4.71,2.37,3.86,4.86,3.43,12.8,5.56,11.5,,
December,,,,,,,,,,11.83,,,,,,,,,,,8.07,5,8.29,4.52,10.14,5.54,0.46,4.62,6.63,,
Total,,,,,,,,,,58.92,66.03,55.96,72.68,65.05,65.68,59.19,64.86,51.83,61.21,54.55,68.66,42.91,54.14,55.76,66.18,61.14,54.93,69.93,74.88,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NGR is below the dam on the NE side of the valley (as noted on 1920s record) at the stated altitude. A new gauge was installed in 1928 at a different location, 200m N based on NGR.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1910s record is missing; values extracted from British Rainfall Reports. 1909 and 1920 readings checked and they match those in BR reports for those years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
