"BIRMINGHAM (WINSON GREEN) - 8"" gauge",,,,,,,,,,
Grid ref,SP043884,Long,-1.9380961,Lat,52.493494,Elevation,470,ft,,
Station no,RR4689,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,0.69,0.96,2.41,3.97,3.04,1.98,,,,
February,3.12,3.43,2.15,3.6,1.66,3.4,,,,
March,0.53,2.37,2.57,1.37,2.74,1.01,,,,
April,2.35,0.78,4.18,0.98,1.66,2.99,,,,
May,1.62,1.48,3.19,1.38,1.05,2.6,,,,
June,2.47,1.74,4,3.63,2.25,3.97,,,,
July,4.8,1.66,3.83,3.95,2.62,0.51,,,,
August,0.8,5.18,2.48,0.76,1.74,3.31,,,,
September,4.63,1.65,3.03,5.89,1.19,1.94,,,,
October,6.38,3.17,6.61,2.64,1.48,4.61,,,,
November,2.3,3.13,4.56,4.47,1.61,3.46,,,,
December,3.48,3.4,4.59,1.02,2.46,0.65,,,,
Total,33.17,28.95,43.6,33.66,23.5,30.43,,,,
