NORTON-MANDEVILLE-READINGS (CREEKSEA HALL),,,,,,,,,,
Grid ref,TQ932969,Long,0.79054624,Lat,51.637715,Elevation,130,ft,,
Station no,RR7411,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,1.85,,,,
February,,,,,,0.73,,,,
March,,,,,,1.18,,,,
April,,,,,,1.13,,,,
May,,,,,,0.24,,,,
June,,,,,,0.3,,,,
July,,,,,,3.36,,,,
August,,,,,,1.41,,,,
September,,,,,,0.99,,,,
October,,,,,2.85,,,,,
November,,,,,2.29,,,,,
December,,,,,1.49,,,,,
Total,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1895 Oct Gauge moved 19 miles to Norton Mandeville,,,,,,,,,,
