NEWTON DON [KELSO],,,,,,,,,,
Grid ref,NT709372,Long,-2.4637011,Lat,55.627496,Elevation,300,ft,,
Station no,RR7382,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,1.69,1.86,2.84,1.3,1.64,,
February,,,,3.55,3.92,1.14,1.16,0.98,,
March,,,1.32,0.82,0.72,3.4,2.11,3.11,,
April,,,0.71,0.58,1.48,0.84,0.45,0.93,,
May,,,2.82,1.48,3.14,0.82,1.02,1.08,,
June,,,3.86,2.34,1.88,1.83,1.8,2.45,,
July,,,1.71,2.1,2.12,5.16,2.91,1.76,,
August,,,3.51,2.5,3.66,4.05,1.29,2.62,,
September,,,1.86,1.04,0.76,0.12,3.71,2.26,,
October,,,3.29,1.31,3.35,3.02,4.27,1.34,,
November,,,1.22,2.49,1.51,2.39,1.2,1.91,,
December,,,1.73,2.06,1.77,1.92,4.69,3.34,,
Total,,,,21.96,26.17,27.53,25.91,23.42,,
