STEVENTON-HANNEY-ROAD,,,,,,,,,,
Grid ref,SU466922,Long,-1.3281982,Lat,51.626694,Elevation,205,ft.,,
Station no,821/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.14,2.19,4.16,1.55,3.07,3.94,3.8
February,,,,2.02,1.33,0.28,2.82,2.78,0.14,1.6
March,,,,2.21,1.12,0.52,1.18,0.77,2.96,1.08
April,,,,0.23,0.27,1.51,0.4,1.03,2.2,0.61
May,,,,1.79,4.24,0.24,1.41,1.53,0.71,1.93
June,,,,4.58,2.66,1.54,1.94,2.96,1.17,2.91
July,,,,2.07,0.16,2.16,2.69,2.46,2.36,3.46
August,,,,2.97,0.27,4.14,2.17,3.43,2.28,1.86
September,,,,1.86,1.43,1.8,3.33,2.9,0.08,3.52
October,,,,1.67,1.88,1.97,2.03,2.61,1.65,5.69
November,,,,4.82,1.37,0.72,1.8,2.26,1.84,3.72
December,,,,2.13,2.71,4.01,2.47,2.74,4.89,4.53
Total,,,,27.49,19.63,23.05,23.79,28.54,24.22,34.71
,,,,,,,,,,
NGR is from the 1950s record and is on Hanney Road.,,,,,,,,,,
"Stated altitude of 250 does not occur along the length of the road,",,,,,,,,,,
MIDAS src_id 5893 ends 1966 and in Oxfordshire. NGR on MIDAS places the gauge 100m S.,,,,,,,,,,
