ABERSYCHAN,,,,,,,,,,
Grid ref,SO268034,Long,-3.0611601,Lat,51.724522,Elevation,620,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,4.98,3.62,3.98,6.13,,,,,
February,,0.01,3.76,8.23,5.83,,,,,
March,,2.11,2.19,0.42,,,,,,
April,,3.78,1.28,0.27,,,,,,
May,,5.76,2.43,3.4,,,,,,
June,,4.48,2.44,1.29,,,,,,
July,,2.54,3.56,5.21,,,,,,
August,,8.83,5.29,4.07,,,,,,
September,2.21,2.28,3.44,2.18,,,,,,
October,1.65,12.54,4.01,4.38,,,,,,
November,4.17,7.58,4.49,2.69,,,,,,
December,2.27,8.11,1.86,7.28,,,,,,
Total,,63,38.37,43.4,,,,,,
,,,,,,,,,,
"NGR is Brynteg House where the observer, Enoch Cooke, lived. Altitudes match",,,,,,,,,,
