TORRINGTON-ENFIELD-(HILLSIDE),,,,,,,,
Grid ref,SS487191,Long,-4.1543,Lat,50.952,Elevation,336,ft
Station no,1855,,,,,,,
,,,,,,,,
,1943,1944,1945,1946,1947,1948,1949,1950
January,,3.64,3.68,5.25,4.71,5.92,1.29,1.07
February,,0.83,4.43,4.52,0.85,1.59,1.3,4.33
March,,0.34,1.9,1.04,6.78,1.04,1.78,1.3
April,,1.93,1.79,2.3,3.04,1.85,2.1,2.13
May,,0.99,4.18,3.91,2.73,2.4,2.09,1.85
June,,3.73,3.41,4.32,3.71,2.16,0.48,1.84
July,2.47,2.45,4.91,2.39,2.3,1.62,3.06,2.64
August,3.47,4.28,1.96,5.77,0.61,3.56,2.7,6.5
September,4.67,3.97,2.21,4.91,2.13,2.29,2.29,
October,3.35,6.69,4.83,1.73,1.55,4.52,7.45,
November,3.89,8.21,0.67,5.75,4,1.85,4.55,
December,2.67,4.4,7.23,5.48,3,4.24,2.72,
Total, ,41.46,41.2,47.37,35.41,33.04,31.81,
,,,,,,,,
,,,,,,,,
,,,,,,,,
House found on 1968 OS map,,,,,,,,
1950 Sept 14th  Gauge moved 1/2m E to Caynton House,,,,,,,,
,,,,,,,,
There is a note that despite the frequent moves the record was considered homogeneous.,,,,,,,,
