TORRINGTON-ENFIELD-(CAYNTON-HOUSE),,,,,,,,,
Grid ref,SS492189,Long,-4.147,Lat,50.9503,Elevation,273,ft, 
Station no,1855,,,,,,,,
,,,,,,,,,
,1950,1951,1952,1953,1954,1955,1956,1957,1958
January,,5.63,4.55,0.91,2.13,5,4.87,2.78,4.12
February,,4.9,1.07,2.15,4.25,3.86,0.45,4.71,3.83
March,,4.83,3.07,1.05,2.89,1.25,0.94,3.43,0.85
April,,3.13,3.68,2.73,0.43,1.52,1.4,0.29,0.92
May,,2.82,2.84,3.77,2.94,4.25,0.84,2.35,3.21
June,,1.01,1.51,1.63,3.19,3.34,1.97,2.42,3.05
July,,2,1.32,4.85,4.3,2.18,3.57,2.73,2.89
August,,4.3,8.85,3.31,2.82,0.3,3.46,3.21,4.44
September,,2.89,5.13,4.54,4.29,1.72,5.99,5,5.35
October,1.4,1.51,5,2.96,4.81,2.67,2.72,3.87,3.97
November,7.18,4.96,4.45,2.94,7.32,3.12,1.79,2.36,3.06
December,4.36,4.38,4.01,1.6,3.82,6.77,3.95,1.9,
Total,,42.36,45.48,32.44,43.19,35.98,31.95,35.05,
,,,,,,,,,
,,,,,,,,,
House found on 1968 OS map,,,,,,,,,
,,,,,,,,,
1958 Dec 1st Gauge moved 500yrds NW,,,,,,,,,
,,,,,,,,,
There is a note that despite the frequent moves the record was considered homogeneous.,,,,,,,,,
