STOLFORD-WHITEWICK-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST236453,Long,-3.094904,Lat,51.201784,Elevation,10,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,2099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,,3.6,1.9,2.51,1.75,2.58,0.67,2.98,6.05,3.16,5.28,2.64,4.19,2.89,5.76,2.19,2.55,2.03,2.88,5.13,0.65,0.64,2.79,2.73,0.53,2.23,4.61,3.09,2.63,1.61,3.61,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,,0.25,2.39,0.02,4.04,0.19,2.35,2.5,4.23,0.9,1.15,2.25,2.7,0.27,1.42,0.86,1.95,2.03,1.97,0.81,1.53,4.7,3.21,0.98,1.81,2.88,2.63,0.28,4.08,3.41,0.28,2.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,,2.65,1.04,1.71,2.48,2.24,1.05,3.06,3.65,0.19,0.97,2.13,2.68,1.72,1.29,0.26,0.68,0.75,5.77,1.09,1.21,0.73,3.06,2.12,0.78,3.84,1.25,0.84,2.08,0.74,3.22,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,,3.26,2.27,2.54,1.25,2.94,4.16,2.17,2.57,0.1,2.96,2.32,2.6,1.41,0.91,1.73,0.57,3.05,2.64,1.8,1.35,2.1,3.43,2.23,3.16,0.36,1.01,1.16,0.02,0.51,2.63,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,,1.52,2.88,4.17,2.24,1.06,1.52,1.76,1.67,2.01,0.97,2.34,1.79,5.48,2.53,1.91,4.04,4.91,3.04,3.06,2.58,1.93,2.7,3.15,1.46,1.81,4.57,0.62,1.06,2.08,0.96,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,,0.58,2.52,0.71,1.27,1.01,1.85,3.02,0.48,1.32,2.59,0.85,1.38,0.39,1.45,1.73,2.33,3.21,1.54,1.38,0.23,1.48,0.82,2.3,2.46,3.69,2.62,1.61,1.8,4.27,1.08,1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,,2.87,3.07,2.69,1.06,0.37,0.72,4.87,4.21,2.92,3.66,4.32,2.72,1.32,1.97,1.4,2.8,1.82,1.58,4.14,2.93,3.31,2.28,0.83,3.58,3.63,1.83,2.77,2.82,2.05,2.52,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,,3.05,3.41,1.93,0.85,3.45,1.75,0.38,0.62,5.09,2.34,0.05,4.2,6.05,3.15,1.79,1.97,5,0.86,3.55,2.9,4.73,4.84,5.03,2.66,1.92,0.81,3,2.5,3.12,2.92,3.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,,3.39,1.42,4.61,2.07,2.25,3.55,4.64,3.43,2.86,0.88,2.07,0.83,2.11,2.79,2.1,2.19,4.15,1.18,1.08,4.2,4.46,3.5,3.39,3.56,3.59,1.47,4.26,3.51,3.57,0.19,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,,2.8,0.79,6.38,3.92,3.54,4.56,1.51,2.83,3.13,2.8,4.9,2.73,2.54,2.62,3.41,3.01,1.11,0.46,3.07,6.35,1.6,1.36,4.01,2.59,3.11,1.87,2.05,2.49,2.26,3.2,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
