"DERBY RAILWAY RIFLE RANGE",,,,,,,,,,,,
Grid ref,SK365349,Long,-1.458703,Lat,52.910295,,,,,,,
Station no,2659,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.28,2.53,1.07,1.13,2.58,3.43,1.69,2.52,3.19,4.86,,
February,2.65,1.01,1.93,1.98,2.11,0.67,2.16,3.54,0.17,2.00,,
March,4.70,2.68,1.51,2.12,2.50,1.24,2.22,1.58,1.46,1.44,,
April,1.31,1.68,2.57,0.29,1.19,1.63,0.15,0.83,2.16,1.19,,
May,3.05,2.74,2.08,2.10,3.16,0.60,0.80,2.14,0.34,1.40,,
June,1.44,2.56,3.26,2.97,4.19,2.81,1.44,3.90,0.76,2.50,,
July,0.78,2.10,3.02,2.19,1.00,2.30,2.81,5.24,1.04,3.16,,
August,4.81,1.98,2.68,4.09,0.35,4.08,3.09,1.97,1.03,3.35,,
September,1.50,1.53,1.62,3.18,1.05,2.83,5.73,2.61,0.05,,,
October,0.75,3.01,2.03,3.20,1.90,1.28,1.47,2.30,2.14,,,
November,5.44,1.72,1.96,4.34,1.82,0.94,2.18,1.42,2.26,,,
December,2.15,3.11,1.01,3.30,2.14,3.39,1.87,3.74,3.37,,,
Total,30.86,26.65,24.74,30.89,23.99,25.20,25.61,31.79,17.97,,,
Calc annual,30.86,26.65,24.74,30.89,23.99,25.20,25.61,31.79,17.97,19.90,,
Difference,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,NaN,,
