"UPPER USK 3",,,,,,,,,,,,
Grid ref,SN798290,Long,-3.750234,Lat,51.946470,,,,,,,
Station no,4111/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.50,5.50,1.50,4.50,3.62,5.35,7.80,4.95,6.25,7.40,,
February,5.00,2.00,3.25,5.00,2.09,1.05,5.20,7.40,0.70,7.15,,
March,5.50,3.25,4.75,4.00,4.03,3.25,5.00,1.55,5.15,2.50,,
April,4.50,3.25,4.00,1.00,4.36,1.26,0.80,1.40,5.15,5.40,,
May,3.00,4.25,2.50,3.50,4.98,1.53,2.00,4.00,1.60,2.00,,
June,1.00,4.25,2.00,6.70,6.40,3.05,1.65,4.05,3.90,2.35,,
July,1.50,3.25,5.50,5.00,1.32,4.20,6.20,4.35,4.96,6.10,,
August,7.50,5.50,5.75,6.05,1.45,6.95,4.40,3.80,1.15,5.45,,
September,5.50,3.00,5.50,6.25,3.25,5.85,8.75,9.30,0.70,5.90,,
October,1.25,6.00,4.75,11.72,4.15,3.25,5.75,5.50,10.00,7.50,,
November,11.50,3.25,6.25,9.78,3.30,3.00,3.60,3.60,9.70,10.50,,
December,7.25,5.00,2.00,5.74,7.02,6.75,6.50,4.90,10.20,7.60,,
Total,60.00,48.50,47.75,69.24,45.97,45.49,57.65,54.80,-999.00,69.85,,
Calc annual,60.00,48.50,47.75,69.24,45.97,45.49,57.65,54.80,59.46,69.85,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-1058.46,-0.00,,
