"LAKE VYRNWY (EUNANT BRIDGE)",,,,,,,,,,,,
Grid ref,SH962224,Long,-3.540663,Lat,52.789155,,,,,,,
Station no,4266/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.95,11.15,2.68,6.70,5.95,9.05,13.20,8.05,9.27,11.87,,
February,9.95,2.45,3.70,7.30,3.52,0.82,7.80,11.55,1.20,9.71,,
March,8.50,4.95,5.10,7.48,3.90,3.75,8.42,1.98,5.04,2.74,,
April,6.55,3.72,5.17,2.07,4.18,2.15,0.65,2.20,7.10,5.24,,
May,3.50,3.75,3.55,5.85,9.20,2.20,3.10,8.72,1.80,2.33,,
June,2.00,4.00,3.30,5.55,7.15,3.18,2.03,4.70,4.10,3.48,,
July,3.80,2.45,9.45,6.45,1.68,7.20,10.48,6.10,6.83,8.05,,
August,7.85,5.55,5.95,6.45,2.00,9.40,8.97,5.70,0.97,6.60,,
September,7.45,4.52,7.65,10.98,2.85,6.22,10.52,12.10,0.64,6.45,,
October,2.90,12.00,3.30,18.35,4.53,5.20,8.70,5.55,9.52,7.78,,
November,12.30,5.30,10.17,14.30,4.42,4.10,3.95,3.05,8.02,17.12,,
December,15.60,7.48,2.55,9.08,10.08,10.05,7.30,6.55,18.04,11.74,,
Total,88.35,67.32,62.57,100.56,59.46,63.32,85.12,76.25,72.53,93.11,,
Calc annual,88.35,67.32,62.57,100.56,59.46,63.32,85.12,76.25,72.53,93.11,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
