GLENLEVEN (LOCH EILDE BEG),,,,,,,,,,
Grid ref,NN249652,Long,-4.864893,Lat,56.745452,Elevation,1125,ft,,
Station no,5749,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.95,10
February,,,,,,,,6.18,8.25,9.3
March,,,,,,,,4.2,6.15,2.55
April,,,,,,,,7.15,9,11.05
May,,,,,,,,10.3,3.25,4.85
June,,,,,,,,2.7,7.9,4.9
July,,,,,,,,3.9,9.15,4.55
August,,,,,,,,7.95,11.05,8.65
September,,,,,,,,6.85,3.8,5.1
October,,,,,,,,13.25,13.3,3.35
November,,,,,,,,2.95,12.2,9.85
December,,,,,,,,8,13.95,11.95
Total,,,,,,,,,103.95,86.1
