"GLENLEVEN (LOCH EILDE BEG)",,,,,,,,,,,,
Grid ref,NN249652,Long,-4.864893,Lat,56.745452,,,,,,,
Station no,5749,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,5.95,10.00,,
February,,,,,,,,6.18,8.25,9.30,,
March,,,,,,,,4.20,6.15,2.55,,
April,,,,,,,,7.15,9.00,11.05,,
May,,,,,,,,10.30,3.25,4.85,,
June,,,,,,,,2.70,7.90,4.90,,
July,,,,,,,,3.90,9.15,4.55,,
August,,,,,,,,7.95,11.05,8.65,,
September,,,,,,,,6.85,3.80,5.10,,
October,,,,,,,,13.25,13.30,3.35,,
November,,,,,,,,2.95,12.20,9.85,,
December,,,,,,,,8.00,13.95,11.95,,
Total,,,,,,,,,103.95,86.10,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,73.43,103.95,86.10,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,,
