ASHCOTT-MELLIFERA,,,,,,,,,,
Grid ref,ST434371,Long,-2.81019,Lat,51.13074,Elevation,200,ft,,
Station no,2081/1/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.82,3.29
February,,,,,,,,,0.27,2.2
March,,,,,,,,,3.52,1.43
April,,,,,,,,,2.15,2.12
May,,,,,,,,,0.93,1.21
June,,,,,,,,,0.77,1.35
July,,,,,,,,,2.11,4.97
August,,,,,,,,,1.06,3.49
September,,,,,,,,,0.11,3.46
October,,,,,,,,,3.48,7.35
November,,,,,,,,,4.34,2.88
December,,,,,,,,,5.71,2.63
Total,,,,,,,,,27.27,36.38
,,,,,,,,,,
Mellifera School Hill Ashcott,,,,,,,,,,
House not found but this NGR is on School Hill at given altitude,,,,,,,,,,
,,,,,,,,,,
SRC_ID 9277,,,,,,,,,,
1959-1968,,,,,,,,,,
