CLEOBURY-MORTIMER-MAWLEY-TOWN-FARM,,,,,,,,,,
Grid ref,SO687761,Long,-2.4612697,Lat,52.382032,Elevation,500,ft.,,
Station no,RR2021,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,2.9,2.47,0.98,1.9,,,,
February,,,0.39,0.54,1.54,1.78,,,,
March,,,3.81,0.91,2.21,0.88,,,,
April,,,2.35,1.09,1.38,,,,,
May,,,3.76,0.71,2.46,,,,,
June,,,2.13,4.55,1.89,,,,,
July,,,2.42,0.88,0.71,,,,,
August,,,2.04,2.12,0.74,,,,,
September,,,3.21,3.79,2.38,,,,,
October,,,3.2,3.24,1.95,,,,,
November,,,0.93,2.02,2.49,,,,,
December,,,1.69,1.18,1.79,,,,,
Total,,,28.83,23.5,20.52,,,,,
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is Mawley Town Farm, stated altitude of 600 ft. is 100 ft. too high; OS figure used.",,,,,,,,,,
