BLACK-MOUNTAINS-ABER-CLYD-5B,,,,,,,,,,
Grid ref,SO224309,Long,-3.1310298,Lat,51.971132,Elevation,1880,ft.,,
Station no,RR7182,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,6.99,3.07,,2.68,3.21,,
February,,,,2.45,6.83,,,1.76,,
March,,,,9.21,6.93,,,6.01,,
April,,,,5.9,1.73,,2.46,4.11,,
May,,,2.56,4.56,2.86,6.47,5.08,7.13,,
June,,,5.15,1.78,3.97,1.79,3.04,3.3,,
July,,,6.29,1.02,5.91,6.02,1.78,3.25,,
August,,,11.72,3.12,3.75,4.68,3.17,11.4,,
September,,,1.91,3.81,2.56,0.82,3.41,3.54,,
October,,,6.16,7.74,5.46,7.83,10.01,6.69,,
November,,,2.95,5.93,7.79,3.94,,2.72,,
December,,,6.97,2.61,11.38,11.17,3.52,1.76,,
Total,,,,55.12,62.24,,,54.88,,
,,,,,,,,,,
NGR is on Cwm Clyd at stated altitude.,,,,,,,,,,
Assumed all 3 gauges are in same vicinity; they all have the same altitude,,,,,,,,,,
