BLACK-MOUNTAINS-ABER-CLYD-5C,,,,,,,,,,
Grid ref,SO224309,Long,-3.1310298,Lat,51.971132,Elevation,1880,ft.,,
Station no,RR7183,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,2.53,4.51,2.49,,,
February,,,,2.49,5.07,7.67,,1.38,,
March,,,,9.28,5.66,0.91,,,,
April,,,,6.48,1.63,1.94,2.38,3.22,,
May,,,,4.83,2.81,6,4.64,6.9,,
June,,,,1.89,3.82,1.82,2.88,3.18,,
July,,,,1.08,6.09,5.96,1.66,3.15,,
August,,,,3.26,3.63,4.65,3.04,11.2,,
September,,,,3.97,2.52,0.81,3.28,3.41,,
October,,,,7.94,5.23,7.17,8.79,6.47,,
November,,,,5.86,7.21,3.38,,2.47,,
December,,,,2.5,9,9.32,2.79,1.49,,
Total,,,,,55.2,54.14,,,,
,,,,,,,,,,
NGR is on Cwm Clyd at stated altitude.,,,,,,,,,,
Assumed all 3 gauges are in same vicinity; they all have the same altitude,,,,,,,,,,
