COOKHAM-THE-SOL,,,,,,,,,,
Grid ref,SU902851,Long,-0.70029367,Lat,51.557581,Elevation,90,ft.,,
Station no,784,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.96,1.76,2.51,2.99,2.56
February,,,,,,0.21,3.32,2.93,0.09,1.92
March,,,,,,0.61,1.35,1.74,2.2,1.17
April,,,,,,1.56,0.16,1.15,2.34,0.62
May,,,,,,0.17,1.08,2.1,0.54,1.24
June,,,,,,2.05,1.44,4.31,1.45,1.17
July,,,,,,3.31,3.45,2.62,3.24,3.69
August,,,,,,4.48,2.87,3.46,1.74,2.81
September,,,,,,2.63,2.66,4.61,0.03,4.6
October,,,,,,1.66,1.6,2.99,2.52,6.38
November,,,,,,0.46,2.25,2.18,2.14,3.52
December,,,,,,3.15,2.48,2.93,3.79,2.92
Total,,,,,,24.25,24.42,33.53,23.07,32.6
,,,,,,,,,,
NGR is The Sol. Altitudes match.,,,,,,,,,,
"MIDAS src_id 6157 ends 1968, NGR is 100m S and is probably a better fit",,,,,,,,,,
