RIVER-BRENIG-PENTRE-DRAW,,,,,,,,,,
Grid ref,SH972528,Long,-3.5354788,Lat,53.062523,Elevation,1100,ft.,,
Station no,4300/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.62,4.53,4.67,6.06,7.98
February,,,,,,0.84,3.68,7.69,0.69,4.83
March,,,,,,2.1,2.66,1.23,2.14,2.05
April,,,,,,2.86,0.77,1.21,6.15,1.97
May,,,,,,0.84,2.07,3.6,2.45,1.58
June,,,,,,2.32,0.91,4.29,2.08,1.35
July,,,,,,4.51,6.59,4.55,3.71,3.41
August,,,,,,7.62,8.31,3.48,1.18,3.83
September,,,,,,3.7,7.32,6.52,0.28,6.12
October,,,,,,3.36,4.54,4.18,5.65,5.55
November,,,,,,2.18,2.8,2.92,5.22,9.56
December,,,,,,3.58,3.5,3.65,8.5,5.25
Total,,,,,,38.53,47.68,47.99,44.11,53.48
,,,,,,,,,,
NGR is from the 1950s record and is near Pemtre Draw.,,,,,,,,,,
Stated altitude is 100 ft. too high or the gauge is 200m SW near a reservoir; the observer is from the Birkenhead Water Company.,,,,,,,,,,
"MIDAS src_id 11644, ends 1971",,,,,,,,,,
