GLEN CANNICH (BENULA),,,,,,,,,,,,,,,,,,,,
Grid ref,NH 10416 30028,Long,-5.150217,Lat,57.321282,Elevation,790,ft,,,,,,,,,,,,
Station no,5767/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,7.69,6.32,15.79,8.24,,,9.96,14.92,7.69,9.57,,,,,,,,,
February,,4.08,14.34,5.9,12.59,,,8.52,12.79,7.34,4.35,,,,,,,,,
March,,1.62,8.15,5.93,9.62,,,8.4,5.51,5.68,4.09,,,,,,,,,
April,,2.93,11.46,5.14,4.19,,14.16,7.91,10.15,10.4,6.64,,,,,,,,,
May,,3.5,5.95,7.3,5.86,,2.18,2.76,3.36,3.47,1.46,,,,,,,,,
June,,5.18,5.86,9.35,,,4.01,5.83,2.16,5.37,2.87,,,,,,,,,
July,,5.86,4.55,2.17,,,4.45,3.93,3.79,4.82,4.96,,,,,,,,,
August,9.55,6.59,7.73,4.3,,,0.16,7.14,7.03,5.67,5.7,,,,,,,,,
September,2.75,9.45,8.18,8.26,,,11.43,11.67,3.74,17.43,,,,,,,,,,
October,9.12,14.22,11.71,10.48,,,5,9.39,7.09,9.42,,,,,,,,,,
November,9.43,4.14,9.36,8.66,,,14.38,8.2,8.52,6.83,,,,,,,,,,
December,11.99,13.35,8.16,9.47,,,4.54,11.08,18.61,5.8,,,,,,,,,,
Total,,78.61,101.77,92.75,,,,94.79,97.67,89.92,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Location now under Loch Mullardoch,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1941 -100s Deleted,,,,,,,,,,,,,,,,,,,,
1945 -100s Deleted,,,,,,,,,,,,,,,,,,,,
1947 -100 Deleted,,,,,,,,,,,,,,,,,,,,
BR 1948 P,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5767/5,,,,,,,,,,,,,,,,,,,
Midas,14582,,,,,,,,,,,,,,,,,,,
Hyd Stn,795425,,,,,,,,,,,,,,,,,,,
