"BELFAST (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,IJ352770,Long,-5.907275,Lat,54.623224,,,,,,,
Station no,6214,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.44,4.01,1.17,2.52,4.07,3.74,4.09,3.75,1.84,3.72,,
February,2.93,0.84,0.91,3.46,3.15,1.37,2.10,5.05,0.91,3.12,,
March,2.48,1.27,0.37,3.53,1.74,1.75,2.54,1.85,2.34,2.92,,
April,1.41,1.85,1.72,0.57,2.11,1.15,1.62,1.56,2.19,3.47,,
May,2.73,0.84,2.14,3.05,2.45,1.16,2.48,2.96,1.87,1.78,,
June,1.60,2.78,1.28,2.98,4.66,1.78,1.07,6.16,2.24,1.98,,
July,2.95,1.35,5.19,4.00,1.78,3.30,3.45,3.66,3.06,4.22,,
August,3.88,5.31,3.24,2.41,1.35,5.60,3.50,3.44,0.98,5.24,,
September,2.83,1.79,2.59,3.85,4.33,3.95,4.83,4.90,1.24,2.78,,
October,0.59,3.72,2.13,6.10,2.50,2.34,3.80,2.15,3.66,5.41,,
November,6.68,2.86,4.30,6.81,2.60,1.71,1.74,1.81,3.57,4.31,,
December,5.20,4.06,2.93,5.16,6.33,4.91,5.17,5.02,6.18,2.46,,
Total,37.72,30.68,27.97,44.44,37.07,32.76,36.39,42.31,30.08,41.41,,
Calc annual,37.72,30.68,27.97,44.44,37.07,32.76,36.39,42.31,30.08,41.41,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
