"BELFAST, SEWAGE OUTFALL WORKS",,,,,,,,,,,
Grid ref,IJ349767,Long,-5.91018,Lat,54.62135,Elevation,19,ft,,,
Station no,6214,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,3.8,6.09,1.82,3.8
February,,,,,,,,1.82,4.54,3.22,0.92
March,,,,,,,,2.25,3.7,0.62,1.3
April,,,,,,,,1.23,1.43,1.17,1.5
May,,,,,,,,1.67,1.3,2.36,1.47
June,,,,,,,,3.35,3.8,2.55,1.84
July,,,,,,,,2.79,2.18,2.61,2.85
August,,,,,,,,2.97,3.26,4.36,5.8
September,,,,,,,,5,2.17,0.73,4.43
October,,,,,,,,2.83,5.58,4.02,5.54
November,,,,,,,,4.58,5.3,4.66,4.94
December,,,,,,,,2.98,3.67,7.36,3.04
Total,,,,,,,,35.27,43.02,35.48,37.43
,,,,,,,,,,,
There is no indication that this is the start of a new gauge or anything so all other records have been concatenated as one long sequence,,,,,,,,,,,
