LONG LOCH RESERVOIR (SOUTH END),,,,,,,,,,
Grid ref,NS472518,Long,-4.435146,Lat,55.735418,Elevation,770,ft,,
Station no,5277/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,2.8,5.84,6.25,2.5,4.08
February,,,,,,1.85,3.25,3.7,3.5,5.1
March,,,,,,3.03,5.9,1.55,4,1.9
April,,,,,,1.7,3.45,2.25,3.25,4.9
May,,,,,5.35,3.8,2.9,3.85,1.5,2.4
June,,,,,4.15,3.25,3.4,3.35,4.05,2.8
July,,,,,1.15,5,4.5,5.8,6.3,4.65
August,,,,,1.6,5.9,4.8,6,1.55,3.4
September,,,,,6.01,5.5,4.5,6.25,1.75,4.3
October,,,,,3.95,5.5,6.15,4.7,8.01,3.25
November,,,,,2.35,4.5,3.2,2.25,6.05,7.3
December,,,,,8.15,6.55,5.85,6.85,8.8,7.1
Total,,,,,,49.38,53.74,52.8,51.26,51.18
,,,,,,,,,,
BR 1957 P Au Est,,,,,,,,,,
BR 1959 P Ja Est,,,,,,,,,,
,,,,,,,,,,
Station no,5277/5,,,,,,,,,
Midas,13448,,,,,,,,,
Hyd stn,647388,,,,,,,,,
