NUTFIELD-HOLMESDALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ309504,Long,-0.126286,Lat,51.237773,Elevation,500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.47,0.91,1.42,2.74,2.28,0.57,2.1,4.01,2.15,0.84,2.11,1.05,2.84,3.4,1.2,0.76,2.33,4.52,1.15,4.79,1.13,1.62,1.07,2.36,1.46,2.62,4.17,0.91,4.5,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,0.64,1.36,2.35,1.03,0.04,1.35,3.62,1.91,0.21,0.32,2.62,1.36,2.63,4.01,1.8,1.12,1.83,2.98,0.73,2.36,1.08,1.19,0.42,3.71,1.68,2.17,1.13,4.15,4.81,4.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.77,3.64,2.16,2.34,1.97,1.05,0.78,1.16,1.55,2.98,3.74,1.13,0.65,0.63,2.2,1.84,2.56,1.51,3.51,1.52,1.04,2.61,3.14,1.1,1.88,3.71,3.26,5.19,0.89,4.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,2.19,2.74,2.64,2.44,0.65,1.04,0.12,2.13,1.88,0.78,1.72,1.09,3,0.97,1.91,0.89,2.31,1.55,1.75,0.66,3.55,2.15,1.7,1.88,2.11,0.07,3.18,1.29,1.4,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,1.46,0.82,2.53,1.69,2.46,1.08,0.75,1.64,0.38,0.22,1.23,3.38,1.41,1.17,1.74,2.83,2.79,2.5,0.67,1.45,2.04,2.14,1.57,2.39,2.21,1.59,2.23,1.4,2.88,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,0.67,4.94,0.84,2.64,1.61,4.4,0.98,2.43,0.47,3.16,2.26,2.15,0.82,2.37,1.68,4.22,5.14,1.08,4.87,1.85,1.83,1.87,2.75,1.99,2.59,4.58,0.41,1.08,1.12,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,0.6,4.96,2.43,3.94,5.29,1.85,2.96,4.58,3.85,1.08,1.09,0.58,1.06,1.4,2.29,1.86,4.54,1.03,0.79,0.6,1.39,3.03,3.6,3.05,0.44,1.54,2.83,2.64,4.36,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,2.23,1.62,2.7,3.29,4.78,3.44,1.04,2.57,3.22,2.29,2.47,1.07,0.76,2.7,2.13,3.54,3.9,1.51,2.4,0.94,2.89,3.7,2.48,2.41,0.54,5.76,1.88,1.82,2.42,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,2.44,0.78,0.95,1.23,1.29,2.55,1.56,2.06,0.5,7.1,2.05,0.44,2.74,1.13,1.79,0.5,2.37,1.54,1.99,1.67,0.5,1.7,3.08,0.75,1.59,3.24,1.54,1.17,2.34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,1.7,1.7,4.45,1.22,6.6,3.64,3.9,4.23,3.34,4.33,0.54,3.32,1.98,2.01,2.87,2.26,6.98,2.09,1.37,3.87,3.82,2.1,4.87,2.84,4.61,2.94,4.86,1.67,2.65,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,4.64,4.44,0.98,2.02,2.87,2.68,2.16,4.59,4.51,1.26,1.52,3.96,4.42,3.01,0.67,2.15,2.59,1.58,4.52,5.13,2.48,0.87,1.13,3.43,5.48,2.65,2.91,4.05,2.77,6.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,1.73,1.61,1.81,0.73,3.19,1.79,2.41,2.08,2.67,3.68,3.3,2.46,1.39,3.04,4.22,1.22,2.14,2.87,0.59,2.17,3.25,2.64,3.48,3.83,6.5,3.27,1.68,8.45,6.68,3.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,22.54,29.52,25.26,25.31,33.03,25.44,22.38,33.39,24.73,28.04,24.65,21.99,23.7,25.84,24.5,23.19,39.48,24.76,24.34,27.01,25,25.62,29.29,29.74,31.09,34.14,30.08,33.82,36.82,38.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
