"SEACROFT (LEEDS CITY HOSPITAL)",,,,,,,,,,,,
Grid ref,SE349346,Long,-1.471528,Lat,53.806530,,,,,,,
Station no,3282,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.84,2.21,0.24,1.78,1.74,3.98,1.26,3.85,2.63,4.79,,
February,2.31,0.46,1.88,2.37,2.04,1.16,2.80,4.40,0.11,1.40,,
March,2.92,1.80,0.45,1.62,2.90,0.62,1.65,1.64,1.25,1.71,,
April,0.97,0.97,2.42,0.21,0.75,2.28,0.12,0.44,4.08,0.64,,
May,5.47,1.66,1.58,3.85,3.43,0.71,1.19,3.33,0.92,0.94,,
June,1.00,1.66,1.84,1.36,1.63,3.09,2.01,3.89,2.09,1.07,,
July,3.24,1.28,2.89,1.45,0.97,4.37,4.04,4.57,1.66,3.25,,
August,6.18,2.07,2.80,5.41,0.68,6.95,4.70,3.24,0.65,3.86,,
September,2.16,2.31,1.56,3.04,1.26,2.83,4.34,3.03,0.16,3.77,,
October,1.40,4.05,1.79,4.08,1.68,1.32,1.83,1.67,2.01,5.58,,
November,6.71,1.34,2.36,4.87,2.30,0.36,1.58,0.71,3.12,4.44,,
December,2.32,1.82,1.27,2.65,3.06,2.41,2.86,3.76,3.59,2.18,,
Total,36.52,21.63,21.08,32.69,22.44,30.08,28.38,34.53,22.27,33.63,,
Calc annual,36.52,21.63,21.08,32.69,22.44,30.08,28.38,34.53,22.27,33.63,,
Difference,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
