"RISHWORTH (GREEN WITHENS RES.)",,,,,,,,,,,,
Grid ref,SD990166,Long,-2.016602,Lat,53.645906,,,,,,,
Station no,3212,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.43,3.58,1.53,4.37,3.52,5.69,4.23,4.48,4.02,6.12,,
February,3.56,0.91,2.66,3.21,2.72,1.79,3.20,7.65,0.59,3.22,,
March,6.10,2.97,2.50,3.03,2.65,1.88,4.07,2.73,2.26,1.80,,
April,2.88,3.73,3.69,0.80,2.17,4.26,0.55,1.49,5.26,3.11,,
May,3.85,1.93,3.83,3.67,4.22,1.92,1.66,5.27,2.67,2.40,,
June,1.11,3.66,3.75,3.89,3.79,4.15,2.75,6.66,3.29,1.94,,
July,4.12,3.15,6.45,5.61,1.15,8.42,6.19,6.06,3.87,8.44,,
August,6.10,5.13,5.40,8.12,1.20,12.43,7.12,5.72,0.87,6.96,,
September,3.14,4.42,3.59,6.31,3.07,4.90,6.21,5.06,0.70,3.86,,
October,1.66,6.23,2.55,10.04,2.84,3.03,7.21,5.25,4.83,6.65,,
November,9.68,2.94,5.21,7.29,2.92,1.91,3.13,2.00,5.39,8.83,,
December,6.70,3.77,2.09,6.89,6.70,4.64,5.60,5.28,8.36,4.62,,
Total,53.33,42.42,43.25,63.23,36.95,55.02,51.92,57.65,42.11,57.95,,
Calc annual,53.33,42.42,43.25,63.23,36.95,55.02,51.92,57.65,42.11,57.95,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
