SRON MHOR,,,,,,,,,,,,,,,,,,,,
Grid ref,NN169208,Long,-4.964194,Lat,56.344035,Elevation,1194,ft,,,,,,,,,,,,
Station no,5428/7/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.45,13.01,15.65,9.23,10.6,8.04,,,6.05,8.59,14.79,,4.97,4.89
February,,,,,,,0.4,10.43,13.22,11.89,9.12,5.49,,,4.68,4.57,5.02,,5.99,7.14
March,,,,,,,4.6,12.08,6.13,6.68,5.05,7.44,,,3.3,4.9,9.87,,7.98,2.89
April,,,,,,,12.6,6.05,12.79,6.48,7.6,4.52,,,8.01,3.39,5.25,,7.36,8.46
May,,,,,,,4.4,3.88,6.18,2.7,1.22,3.13,,,5.62,7.87,3.21,,3.06,4.82
June,,,,,,,6.96,8.82,1.61,5.93,3.38,6.68,,,6.67,6.75,5.68,,5.93,5.21
July,,,,,,,7.71,7.7,4.39,9.14,9.14,7.94,,,1.75,7.6,8.49,,9.5,7.35
August,,,,,,,0,10.66,8.89,11.09,8.18,7.62,,,3.55,7.88,9.26,,5.6,5.85
September,,,,,,,13.34,14.72,5.23,16.02,6.91,6.53,,,11.14,7.85,6.86,,3.41,5.24
October,,,,,,,9.06,14.21,11.14,12.07,4.33,9.52,,,8.68,7.68,13.29,,10.53,4.65
November,,,,,,,14.42,8.89,12.27,7.1,13.5,3.3,,,5.4,7.01,4.39,,13.77,9.94
December,,,,,,,5.87,14.38,17.09,3.75,16.19,9.02,,,13.88,15.85,12.53,,18.25,12.57
Total,,,,,,,87.81,124.83,114.59,102.08,95.22,79.23,,,78.73,89.94,98.64,,96.35,79.01
,,,,,,,,,,,,,,,,,,,,
1947 Feb est for snow,,,,,,,,,,,,,,,,,,,,
BR 1953 NP Low Deleted,,,,,,,,,,,,,,,,,,,,
BR 1954 NP Low Deleted,,,,,,,,,,,,,,,,,,,,
BR 1958 NP Low Deleted,,,,,,,,,,,,,,,,,,,,
1959 Dec estd,,,,,,,,,,,,,,,,,,,,
https://canmore.org.uk/site/277918/lochan-shira-sron-mor-power-station,,,,,,,,,,,,,,,,,,,,
The Gauge is actually on the shore of Lochan Shira,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5428/7/5,,,,,,,,,,,,,,,,,,,
Midas,13829,,,,,,,,,,,,,,,,,,,
Hyd Stn,667727,,,,,,,,,,,,,,,,,,,
