"KIRRIEMUIR (GLENHEAD)",,,,,,,,,,,,
Grid ref,NO273648,Long,-3.191008,Lat,56.769093,,,,,,,
Station no,5586,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.10,2.80,1.60,2.50,2.20,3.20,5.60,4.50,2.50,4.70,,
February,5.40,1.60,1.70,4.50,2.50,2.20,4.90,2.80,0.60,7.90,,
March,2.20,5.60,0.70,5.20,2.40,3.40,3.40,3.50,4.30,4.10,,
April,3.30,2.30,2.60,1.40,1.00,1.00,1.40,1.50,4.40,5.60,,
May,1.90,3.90,3.00,6.00,2.80,1.10,2.50,3.60,1.20,3.10,,
June,2.50,2.90,2.80,2.30,1.30,3.10,1.90,4.00,3.30,2.80,,
July,2.85,3.50,4.00,3.20,0.90,5.15,7.00,3.40,4.90,3.60,,
August,6.60,3.40,2.50,2.80,0.80,7.10,4.60,4.00,2.20,6.90,,
September,3.70,1.10,4.50,4.30,1.80,5.90,3.10,6.00,1.10,4.74,,
October,1.20,5.80,4.00,7.90,3.40,3.00,2.10,3.70,5.50,11.10,,
November,15.10,2.30,3.80,10.50,3.60,1.16,1.90,1.30,8.60,5.90,,
December,4.20,3.10,4.70,4.50,8.50,9.10,5.20,6.60,12.20,4.30,,
Total,53.05,38.30,35.90,55.10,31.20,45.41,43.60,44.90,50.80,64.74,,
Calc annual,53.05,38.30,35.90,55.10,31.20,45.41,43.60,44.90,50.80,64.74,,
Difference,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,,
