WINTERBORNE-WHITCHURCH-VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST836001,Long,-2.234082,Lat,50.800225,Elevation,240,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,1.51,1.12,3.92,1.78,6.01,6.49,0.78,3.81,,1.7,4.39,7.14,5.14,4.02,5.13,2.05,4.42,4.53,4.34,2.63,5.79,1.65,5.24,2.75,3.39,2.98,3.11,0.86,5.8,7.59,4.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.44,0.85,5.02,1.83,3.41,1.61,5.83,6.7,,1.13,1.91,4.01,0.6,0.26,3.6,7.8,0.63,5.01,2.29,3.99,2.96,1.89,0.96,2.64,0.09,4.87,0.07,4.18,3.46,7.5,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,4.14,5.38,0.81,2.48,5.64,2.98,5.59,0.85,,3.33,1.77,5.36,3.06,1.88,3.81,2.02,2.33,0.78,0.59,3.63,2.83,0.37,1.49,1.26,1.86,4.15,3.4,1.37,5.4,5.04,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,2.1,1.76,2.15,1.52,0.05,3.63,1.45,1.52,,1.54,1.95,1.97,4.52,0.88,5.26,4.25,3.32,3.02,4.14,2.53,1.89,0.93,2.58,2.89,3.08,1.56,2.13,4.66,2.03,2.6,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,2.47,1.49,1.85,1.67,2.1,3.05,1.74,2.51,,2.79,1.36,0.9,1.75,2.32,0.6,2.4,5.56,4.32,2.46,1.59,1.67,2.46,2.3,3.81,3.59,1.52,0.94,1.11,0.34,3.43,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.33,3.8,4.22,2.51,4.29,1,1.3,1.41,,1.53,1.13,0.79,2.79,0.8,0.82,0.52,2.13,0.01,2.97,3.1,2.27,1.69,0.69,3.96,3.02,1.29,1.58,4.26,3.16,0.7,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.22,3.51,3.04,0.22,3.41,1.34,4.94,4.59,,3.8,4.2,2.52,5.52,0.49,5.53,0.79,4.19,2.89,1.22,2.85,1.75,1.64,2.15,4.73,3.97,2.53,0.18,0.81,5.35,2.48,3.37,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.79,2.74,2.44,0.63,8.05,2.46,3.26,1.47,,6.27,2.72,3.39,1.97,2.2,3.31,2.65,3.45,3,0.87,3.61,4.16,1.48,3.93,4.04,1.57,1.2,3,2.89,0.26,1.26,3.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,2.47,4.61,0.28,0.97,2.72,3.93,2.26,2.03,,2.17,7.08,1.75,1.09,1.18,1.95,3.62,4.63,4.14,0.69,5.57,2.1,0.32,4.25,2.23,3.78,2.27,3.25,4.02,2.97,3.02,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.87,8.92,5.87,4.09,5.01,4.13,3.3,6.76,,5.26,2.43,1.88,3.64,0.93,2.11,7,5.54,4.87,4.21,3.05,7.85,3.98,2.91,0.56,6.87,2.25,2.11,6.27,2.1,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
