CLAWDD-NEWYDD-NO-1,,,,,,,,,,,
Grid ref,SJ072521,Long,-3.3861027,Lat,53.058064,Elevation,1004,ft.,,,
Station no,,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,3.87,3.84,4.18,6.43,,
February,,,,,,5.75,1.71,2.13,3.76,,
March,,,,,,1.07,0.99,4.15,1.43,,
April,,,,,,2.12,1.6,1.86,1.31,,
May,,,,,,2.63,2.58,2.02,2.13,,
June,,,,,,0,1.82,5.42,4.63,,
July,,,,,,2.33,4.89,2.41,1.17,,
August,,,,,,3.72,3.2,6.34,3.8,,
September,,,,,,5.2,3.78,4.89,1.94,,
October,,,,,,3.54,3.45,5.11,,,
November,,,,,,2.83,5.22,3.75,,,
December,,,,,,3.85,0.81,0.92,,,
Total,,,,,,36.91,33.89,43.18,,,
,,,,,,,,,,,
"NGR is west of Clawdd Newydd, where the altitudes are at about the stated altitude. No clues to precise locations, NGR could be +/- 1.km or more. Long/Lat of record is 1km east but altitude is 250 ft. too low",,,,,,,,,,,
