"GALASHEILS (THE PEEL, CLOVENFORDS)",,,,,,,,,,,,
Grid ref,NT431351,Long,-2.904714,Lat,55.606166,,,,,,,
Station no,5065,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.94,3.69,0.98,4.06,2.57,2.40,6.20,3.71,2.67,5.06,,
February,2.69,1.02,1.20,3.00,2.58,2.27,4.15,4.08,0.94,6.31,,
March,3.52,1.60,1.27,3.56,2.11,3.25,3.39,3.14,2.87,3.23,,
April,2.72,1.81,4.73,0.88,0.39,0.97,1.23,2.40,5.18,3.79,,
May,2.19,2.47,3.54,5.63,2.30,1.63,2.73,3.03,1.18,1.77,,
June,1.08,2.80,2.13,3.81,1.05,4.43,1.29,5.65,4.41,1.40,,
July,2.76,1.80,5.06,3.47,1.77,6.18,5.41,8.58,2.75,3.78,,
August,4.36,3.75,2.82,6.44,0.90,11.27,7.60,5.50,1.00,5.43,,
September,2.16,1.24,4.06,6.74,1.89,3.66,2.23,3.91,1.34,2.39,,
October,0.24,3.44,1.90,6.92,2.05,3.57,3.78,3.29,3.79,4.15,,
November,7.54,3.11,4.62,7.42,1.89,1.36,2.36,1.35,8.70,5.09,,
December,4.19,4.41,2.80,5.42,6.39,5.75,4.34,9.37,6.31,6.33,,
Total,37.39,31.14,35.11,57.35,25.89,46.74,44.71,54.01,41.14,48.73,,
Calc annual,37.39,31.14,35.11,57.35,25.89,46.74,44.71,54.01,41.14,48.73,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
