"STONE (STONE HOUSE HOSPITAL)",,,,,,,,,,,,
Grid ref,TQ559743,Long,0.242018,Lat,51.446234,,,,,,,
Station no,411,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.43,1.41,1.00,0.45,2.50,2.67,1.15,1.65,2.15,1.95,,
February,5.42,1.00,0.99,1.90,1.92,0.20,1.85,2.25,0.06,1.69,,
March,2.30,2.28,0.42,1.06,0.91,1.08,0.81,1.00,1.60,1.28,,
April,2.01,0.75,1.97,0.24,0.27,1.33,0.11,1.80,1.66,0.39,,
May,1.71,0.99,1.45,1.73,4.10,0.51,0.86,1.60,1.75,2.11,,
June,0.78,1.06,1.60,3.16,1.54,1.98,0.77,5.00,0.34,1.52,,
July,3.01,1.20,3.17,2.62,0.07,5.02,4.09,2.10,1.52,2.98,,
August,2.81,1.99,1.17,4.96,1.07,2.90,2.65,4.15,0.75,4.26,,
September,2.50,3.06,2.90,1.80,3.01,1.93,2.46,5.67,0.07,4.26,,
October,1.04,1.95,2.66,1.35,3.43,1.73,1.32,2.60,1.61,5.51,,
November,4.17,4.22,1.15,3.57,0.55,0.25,2.76,1.80,3.26,3.66,,
December,1.65,1.95,0.67,1.13,1.59,2.27,1.58,2.72,-999.00,2.31,,
Total,29.83,21.86,19.23,23.97,20.96,21.87,20.41,32.34,18.56,31.92,,
Calc annual,29.83,21.86,19.15,23.97,20.96,21.87,20.41,32.34,14.77,31.92,,
Difference,0.00,0.00,0.08,-0.00,0.00,0.00,0.00,0.00,3.79,0.00,,
