EAST-ANSTEY-SOAMES,,,,,,,,,,
Grid ref,SS867263,Long,-3.6156,Lat,51.0254,Elevation,740,ft,,
Station no,1836,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,1.8,3.7,3.08
February,,,,,,,5.33,2.39,3.34,0.78
March,,,,,,,3.59,1.89,3.94,5.3
April,,,,,,,1.4,5.57,3.17,3.64
May,,,,,,,3.61,2.82,2.41,2.17
June,,,,,,,2.12,3.58,0.95,1.79
July,,,,,,,1.58,2.55,2.66,3.01
August,,,,,,,4.07,3.81,5.71,2.53
September,,,,,,,1.2,0.72,3.5,
October,,,,,,,6.3,7.25,3.07,
November,,,,,,,5.63,3.28,2.84,
December,,,,,,,3.12,5.61,,
Total,,,,,,,,41.27,,
,,,,,,,,,,
,,,,,,,,,,
This gauge was kept by Mary Hancock (nee Soames) until Dec1970,,,,,,,,,,
"Exact location unknown, but distances are correct for the Rectory.",,,,,,,,,,
"The Rector lived in West Anstey, and as there were different people in the Rectory in 1901, 1911 I think she might have been there for these few years. ",,,,,,,,,,
Otherwise she was either at the Farm next door or the school across the street.,,,,,,,,,,
,,,,,,,,,,
1906 Jan estimated from Molland,,,,,,,,,,
"1908 Dec originally said 4.78, but was corrected to 5.07 by surrounding stations in 1913",,,,,,,,,,
1909 Sept 29th Gauge moved to Rhyll,,,,,,,,,,
