ROWNHAMS-THE-GREEN,,,,,,,,,,
Grid ref,SU385174,Long,-1.45321,Lat,50.95524,Elevation,230,ft,,
Station no,652/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,3.24,4.47
February,,,,,,,,,0.2,2.84
March,,,,,,,,,3.33,1.75
April,,,,,,,,,2.55,1.13
May,,,,,,,,,0.5,1.37
June,,,,,,,,,0.78,2.65
July,,,,,,,,,1.71,4.4
August,,,,,,,,,1.75,4.19
September,,,,,,,,,0.07,5.68
October,,,,,,,,2.95,2.71,9.72
November,,,,,,,,2.7,3.8,5.44
December,,,,,,,,4.1,7.68,4.09
Total,,,,,,,,,28.32,47.73
,,,,,,,,,,
House unknown but NGR points to The Green at given elevation,,,,,,,,,,
1959 Nov 12 Inspection Site satisfactory Good distant wind breaks,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Rownhams SRC_ID 7600,,,,,,,,,,
1958-1968,,,,,,,,,,
