SETTLE-GREET-BRIDGE,,,,,,,,,,
Grid ref,SD702589,Long,-2.4563718,Lat,54.025229,Elevation,825,ft.,,
Station no,3089/4/1,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,8.06,4.65,6.57,9.73,7.06,4.98,9.72
February,,,,5.34,2.43,1.59,5.61,11.83,1.92,7.54
March,,,,4.99,2.06,3.18,6.54,1.87,4.27,2.19
April,,,,2.35,3.19,2.4,1.51,2.1,4.94,5.65
May,,,,4.67,6.2,3.03,3.34,6.8,1.26,2.28
June,,,,5.79,4.19,3.4,2.56,4.47,4.38,3.47
July,,,,9.43,1.71,6.39,7.54,5.19,4.9,12.02
August,,,,7.87,1.06,14.95,6.73,7.35,0.85,5.16
September,,,,11.95,5,3.9,8.4,7.95,0.68,4.48
October,,,,17.02,4.29,5.28,10.79,6.62,8.45,5.25
November,,,1.75,12.41,3.76,2.69,2.85,2.55,8.26,12.46
December,,,4.41,13.26,10.05,8.9,9.12,6.3,13.26,9.72
Total,,,,103.14,48.59,62.28,74.72,70.09,58.15,79.94
,,,,,,,,,,
NGR is from 1950s record and is near Cross of Greet Bridge.,,,,,,,,,,
Stated altitude 30 ft too high or NGR is 100m SW to match altitude.,,,,,,,,,,
"MIDAS src_id 12320 ends 1982 and places gauge 140m SW, which better matches stated altitude.",,,,,,,,,,
