LOCH NESS (FOYERS GARROGIE),,,,,,,,,,
Grid ref,NH 521 117,Long,-4.446604,Lat,57.172651,Elevation,1100,ft,,
Station no,5703,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,7.43,4.52,7.12,,,,
February,,,,3.41,7.45,5.84,,,,
March,,,,2.1,4.54,2.22,,,,
April,,,,2.96,1.3,3.54,,,,
May,,,,3.68,,1.93,,,,
June,,,,4.49,3.22,4.09,,,,
July,,,,1.33,1.82,6.47,,,,
August,,,,2.03,0.95,3.52,,,,
September,,,,4.26,2.9,5.99,,,,
October,,,,5.49,3.41,0.43,,,,
November,,,,7.5,0.44,4.98,,,,
December,,,2.89,5.75,,,,,,
Total,,,,50.43,,49.13,,,,
,,,,,,,,,,
1946 Dec estimated deleted,,,,,,,,,,
Removed May and December 1945 as figures doubtful,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
