BURY-HILL-DORKING,,,,,,,,,,
Grid ref,TQ152484,Long,-0.35171836,Lat,51.22318,Elevation,377,ft.,,
Station no,RR8380,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,4.1,2.99,2.19,0.43,2.43,3.29,0.76,1.22
February,,,0.88,0.59,0.82,1,1.05,0.44,1.49,1.93
March,,,0.51,1.62,0.25,1.88,0.95,1.88,0.92,1.08
April,,,0.51,2.68,0.09,0.48,3.56,1.38,2.64,2.44
May,,,2.65,2.18,2.94,1.69,2.96,0.76,2.17,2.9
June,,,4.9,2.03,1.73,1.03,1.16,1.91,0.54,2.56
July,,,3.26,4.55,1.51,5.3,1.48,1.03,2.69,1.11
August,,,5.02,3.01,1.01,1.41,2.89,3.2,1.58,2.31
September,,,4.3,2.47,0.78,1.28,2.78,4.66,1.26,4.76
October,,,5.66,5.36,2.25,6.23,2.18,5.05,1.72,4.24
November,,,6.81,1.18,1.68,1.37,1.16,1.29,1.25,3.68
December,,,2.66,0.44,1.5,1.82,2.85,0.75,2.35,3.05
Total,,,41.26,29.1,16.75,23.92,25.45,25.64,19.37,31.28
,,,,,,,,,,
NGR is the observatory on Bury Hill. Altitudes reasonable match.,,,,,,,,,,
"Long/lat on record places gauge 500m NNE, but much lower. No observer named.",,,,,,,,,,
