HORNCASTLE - QUEEN STREET,,,,,,,,,,,,,,,,,,,,
Grid ref,TF262694,Long,-0.112,Lat,53.207,Elevation,100,ft,,,,,,,,,,,,
Station no,RR1796,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893
January,1.62,2.45,1.94,3.14,2.12,1.23,0.24,0.46,1.91,2.48,2.25,2.25,2.60,1.65,0.98,1.39,2.10,1.63,0.88,2.03
February,1.79,1.49,2.38,2.46,1.51,2.85,1.90,3.40,1.60,3.61,1.42,3.07,0.30,0.69,1.05,4.01,0.81,0.00,2.00,2.95
March,1.08,0.72,2.90,2.14,1.28,0.77,1.76,1.31,1.35,1.46,1.57,1.14,2.36,1.04,2.36,2.64,1.64,1.21,2.61,0.54
April,1.26,0.52,3.68,3.59,1.10,2.43,2.59,1.42,3.13,1.48,1.32,1.72,1.32,1.48,2.27,2.99,0.28,1.39,1.24,0.19
May,1.08,1.51,0.83,1.38,4.46,4.94,0.87,1.28,1.78,2.00,1.11,1.57,4.49,1.03,0.93,3.56,1.94,2.86,2.59,1.12
June,0.50,2.58,2.58,1.23,2.20,4.00,3.12,2.20,3.92,4.87,0.36,2.25,0.46,0.16,1.65,0.41,1.72,2.53,2.04,1.50
July,0.73,3.60,2.30,2.44,0.71,4.00,6.67,2.64,2.14,3.46,2.72,0.90,2.65,0.80,4.79,1.42,1.96,2.88,2.07,3.24
August,2.45,2.19,1.34,3.32,7.04,2.00,2.05,3.83,3.99,1.54,2.60,1.98,2.64,2.06,0.92,3.47,1.88,2.55,1.64,1.15
September,2.17,1.88,3.66,1.65,0.91,5.09,5.12,2.29,2.50,6.78,1.29,3.39,0.92,2.47,1.60,2.31,0.36,1.64,1.04,1.36
October,2.03,4.79,1.20,1.50,2.85,1.21,5.44,3.09,4.95,3.46,1.56,6.01,5.14,2.12,1.55,2.90,1.18,3.98,3.33,0.87
November,2.88,5.00,3.57,2.98,5.12,1.82,2.28,2.73,3.27,3.68,1.22,2.81,2.91,2.62,4.44,0.75,2.90,2.23,0.99,2.34
December,3.42,1.70,5.37,1.95,1.87,0.67,1.97,2.73,4.95,1.41,2.78,1.00,3.04,1.44,1.54,0.67,0.38,3.01,1.06,2.23
Total,21.01,28.43,31.75,27.78,31.17,31.01,34.01,27.38,35.49,36.23,20.20,28.09,28.83,17.56,24.08,26.52,17.15,25.91,21.49,19.52
,,,,,,,,,,,,,,,,,,,,
TYRain_1870-1879_06_pt3/034,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_08_pt1/038,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/164,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
# The sheets give Queen Street as the location; the grid reference is central Queen Street.,,,,,,,,,,,,,,,,,,,,
"# But the observer Hugh George lived at 3 Stanhope Villas (TF262698) which is a better fit for the church directions, and so may be the true location ?",,,,,,,,,,,,,,,,,,,,
