LONG SUTTON - TYDD GATE,,,,,,,,,
Grid ref,TF451180,Long,0.148,Lat,52.740,Elevation,23,ft,
Station no,RR2728,,,,,,,,
,,,,,,,,,
,1874,1875,1876,1877,1878,1879,1880,1881,1882
January,1.12,1.81,1.86,2.95,2.26,1.21,0.18,0.82,1.54
February,0.92,1.00,2.07,1.92,1.46,2.18,1.75,2.56,1.05
March,0.80,0.40,2.29,1.66,0.61,0.64,1.21,1.56,
April,0.83,0.84,4.42,3.65,1.56,2.27,2.89,1.74,
May,1.17,1.17,1.39,1.41,3.33,3.30,0.90,0.42,
June,1.28,3.65,3.15,1.42,1.27,3.25,2.84,2.51,
July,1.33,6.43,1.38,2.93,1.12,4.74,5.11,2.13,
August,2.03,1.26,2.46,2.98,5.40,2.68,2.69,3.21,
September,2.43,2.52,4.05,1.50,1.45,3.15,4.13,2.09,
October,1.60,2.91,0.75,1.44,2.62,0.81,3.85,2.42,
November,1.93,4.62,2.60,2.29,3.54,0.33,2.38,2.03,
December,1.77,1.28,3.83,1.56,1.63,0.65,2.10,2.53,
Total,17.21,27.89,30.25,25.71,26.25,25.21,30.03,24.02,
,,,,,,,,,
TYRain_1870-1879_06_pt3/013,,,,,,,,,
TYRain_1880-1889_08_pt1/002,,,,,,,,,
,,,,,,,,,
"# The observer, Mr Tilson, and gauge moved to Long Sutton in March 1882.",,,,,,,,,
# The March 1882 reading is an estimate and has been omitted.,,,,,,,,,
# The 1880s rainfall sheet is shared with Mr Tilson's Long Sutton site.,,,,,,,,,
