"PLYNLIMON",,,,,,,,,,,,
Grid ref,SN791837,Long,-3.779945,Lat,52.437858,,,,,,,
Station no,4140,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,10.95,8.80,9.45,12.95,9.98,8.95,16.05,8.05,12.20,7.70,,
February,4.00,1.50,1.60,10.45,11.45,7.45,10.08,5.40,10.35,3.00,,
March,1.50,6.95,7.25,11.95,4.50,11.15,11.20,7.20,7.70,5.50,,
April,5.98,7.40,2.65,6.00,9.95,8.20,3.50,5.70,5.50,7.20,,
May,4.30,1.38,8.00,5.88,4.97,2.10,8.50,5.95,5.60,4.20,,
June,7.45,7.00,4.00,3.70,4.50,4.30,4.00,15.25,5.30,4.80,,
July,4.00,4.40,4.28,7.60,4.18,6.80,4.75,7.20,10.00,12.20,,
August,10.55,11.95,8.45,15.85,8.95,10.95,8.75,14.35,9.70,8.70,,
September,7.10,5.00,3.30,10.17,4.50,5.50,3.70,1.60,10.40,7.50,,
October,11.95,10.35,10.65,24.55,9.05,8.95,11.05,11.35,4.40,14.20,,
November,11.80,12.87,5.80,12.15,8.45,8.00,10.65,7.45,6.20,6.00,,
December,16.05,12.00,10.85,6.50,8.78,4.80,12.85,10.90,10.00,16.20,,
Total,95.63,89.60,76.28,127.75,89.26,87.15,105.08,100.40,97.35,97.20,,
Calc annual,95.63,89.60,76.28,127.75,89.26,87.15,105.08,100.40,97.35,97.20,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
