SOUTHAMPTON-ELING (BARONALD MILLBROOK),,,,,,,,,,
Grid ref ,SU393128,Long ,-1.4418,Lat ,50.9137,Elevation ,10,ft ,,
Station no ,RR205 ,,,,,,,,,
,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January ,,,,,,2.73,3.9,,0.81,0.87
February ,,,,,,3.65,0.45,,1.11,1.77
March ,,,,,,2.19,2.91,,3.04,2.46
April ,,,,,,1.28,1.71,,2.11,2.14
May ,,,,,,3.93,3.45,,2.19,2.84
June ,,,,,,1.98,0.65,,2.99,0.05
July ,,,,,,0.22,2.32,,5.7,2.93
August ,,,,,,1.04,1.01,,1.73,2.34
September ,,,,,,4.66,2.08,,0.96,1.1
October ,,,,,,3.63,5.55,,1.75,5.21
November ,,,,,,3.39,4.27,,4.5,1.97
December ,,,,,,2,6.44,,2.2,1.81
Total ,,,,,,30.7,34.74,,29.09,25.49
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"1885 TYR states that Gauge moved twice, first to Beachfield Totton then to Baronald Millbrook. Hash only shown at Jan 1885, so NGR for Millbrook given",,,,,,,,,,
"IDR 1887 Total removed, incomplete year ",,,,,,,,,,
