COCKERMOUTH - gauge on pinnacle on church tower at 100ft above ground level,,,,,,,,,,
Grid ref,NY123306,Long,-3.3601213,Lat,54.663203,Elevation,260,ft,,
Station no,RR6259,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,2.49,5.1,1.55,1.6,2.25
February,,,,,,1.93,2.05,1.2,3.63,3.3
March,,,,,,1.59,0.85,0.75,3.06,0.25
April,,,,,,0.37,0.61,2.55,1.31,1
May,,,,,,4.78,1.3,0.78,2.13,0.88
June,,,,,,0.54,1.39,0.79,0.57,0.75
July,,,,,,2.08,3.25,2.5,0.44,0.77
August,,,,,,2.65,2.5,3,2.94,0.96
September,,,,,,1.36,4.5,2.25,1,4.35
October,,,,,,2.28,2.06,2.5,3.1,2.1
November,,,,,,2.28,4.94,0.5,2.2,3.05
December,,,,,,2.45,2.75,1.7,5.12,3.2
Total,,,,,,24.8,31.3,20.07,27.1,22.86
,,,,,,,,,,
TYRain_1860-1869_06_pt1-page-048.csv,,,,,,,,,,
