Rainfall at,MUIRHEAD PAISLEY
,
Station no,5281,
,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,8.30,3.25,6.94,5.62,
February,,,,,,,4.75,2.85,6.00,5.12,
March,,,,,,,2.15,0.82,4.91,1.10,
April,,,,,,,1.60,6.18,3.29,2.27,
May,,,,,,,,2.95,3.37,1.56,
June,,,,,,,2.10,1.93,2.11,2.18,
July,,,,,,,2.82,4.93,0.88,3.25,
August,,,,,,,4.80,4.28,6.00,1.14,
September,,,,,,,6.00,4.83,2.10,8.55,
October,,,,,,,3.30,4.76,6.14,2.03,
November,,,,,,,3.92,1.52,3.76,5.67,
December,,,,,,4.00,5.17,3.31,7.04,5.39,
Total,,,,,,,,41.61,52.54,43.88,
Calc annual,0.00,0.00,0.00,0.00,0.00,4.00,44.91,41.61,52.54,43.88,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,
