UXBRIDGE,,,,,,,,,,
Grid ref,TQ056847,Long,-0.47835267,Lat,51.551317,Elevation,160,ft.,,
Station no,850/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,1.78,0.82,0.69,2.73,4.32,1.38,2.7,2.39,2.17
February,,0.71,1.32,2.33,1.65,0.19,2.95,2.86,0.12,2
March,,2.69,0.46,2.14,1.04,0.93,1.19,1.35,2.3,1.43
April,,1.91,2.22,0.29,0.54,1.23,0.2,1.31,2.5,0.6
May,,2.54,1.41,2.31,4.8,0.24,0.62,2.83,0.7,1.92
June,,1.61,1.36,4.67,2.01,2.16,1.02,3.82,0.9,2.07
July,,0.52,3.38,2.14,0.27,4.37,4.33,2.35,3.8,4.27
August,,4.01,1.98,3.2,0.81,4.03,1.87,3.19,1.62,2.7
September,,3.85,1.95,1.97,1.74,2.82,2.64,5.02,0.04,4.05
October,,2.77,2.67,2.52,3.76,2.68,2.13,2.42,2.28,6.95
November,,2.93,1.27,4.04,2.07,0.4,2.33,2.43,2.02,4.24
December,,2.48,0.58,1.66,2.12,3.3,1.76,3.62,3.72,2.82
Total,,27.8,19.42,27.96,23.54,26.67,22.42,33.9,22.39,35.22
,,,,,,,,,,
NGR is from 1950s record. Altitudes match.,,,,,,,,,,
The NGR does not quite fit the relationships with the church and station. NGR could be +/- 200m,,,,,,,,,,
