"WATERSHEDDLES RESERVOIR",,,,,,,,,,,,
Grid ref,SD968379,Long,-2.050110,Lat,53.837342,,,,,,,
Station no,3013,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.00,5.83,2.45,4.78,2.42,5.50,5.86,4.12,3.87,6.30,,
February,3.95,1.61,3.36,3.15,2.21,2.12,3.83,7.35,0.93,3.43,,
March,5.35,2.93,2.68,2.87,2.66,2.43,5.76,2.44,2.12,1.78,,
April,3.23,3.70,4.13,0.98,2.28,3.26,0.62,1.84,4.38,3.76,,
May,4.39,3.01,2.70,4.30,4.69,2.34,1.53,5.95,1.59,2.09,,
June,1.79,3.80,3.27,3.12,3.42,3.37,3.27,5.57,3.85,1.51,,
July,3.95,3.17,6.78,7.03,1.12,5.55,6.81,4.25,3.46,7.61,,
August,4.76,7.41,7.37,8.70,1.66,12.08,7.07,4.68,1.01,5.54,,
September,3.53,5.09,5.50,6.23,3.38,4.86,6.44,5.38,0.31,3.59,,
October,1.58,5.46,2.37,10.15,3.66,3.49,7.69,4.53,6.23,5.83,,
November,11.22,2.50,7.29,8.50,3.22,2.34,2.91,2.01,5.66,8.90,,
December,12.25,5.29,2.95,8.21,7.63,5.92,6.07,5.14,10.24,6.63,,
Total,61.00,49.80,50.85,68.02,38.35,53.26,57.86,53.26,43.65,56.97,,
Calc annual,61.00,49.80,50.85,68.02,38.35,53.26,57.86,53.26,43.65,56.97,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,,
