PEAK-FOREST-SPARROWPIT,,,,,,,,,,
Grid ref,SK091804,Long,-1.8648546,Lat,53.32045,Elevation,1200,ft.,,
Station no,2681/6/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,4.74,4.62,1.84,4.85,3.87,7.37,,,3.4,7.1
February,4.41,2.35,2.49,4,,,2.92,,0.59,2.9
March,5.91,2.4,3,3.38,3.94,1.9,3.6,2.47,2.31,2.8
April,2.72,4,2.45,0.67,2.58,2.33,0.45,1.2,3.14,
May,2.71,3.21,2.8,3.19,4.23,0.94,,,0.69,2.3
June,1.75,3.8,2.96,3.7,3.75,3.1,2.18,,,1.3
July,3.28,2.49,5.08,5.81,1.38,8.17,4.81,,3.1,5.9
August,4.98,2,4.97,5.56,0.84,7.73,6.97,3.48,0.53,5.7
September,2.49,4.58,2.56,4.97,1.83,4.34,8.2,6.56,0.01,4.2
October,1.49,5.94,2.22,6.21,3.33,2.34,3.41,4.17,3.4,8.3
November,10.46,3.38,2.72,8.46,2.55,1.84,2.46,,5.8,
December,5.15,4,1.8,5.34,4.98,,6,5.2,,4.9
Total,50.09,42.77,34.89,56.14,,,,,,
,,,,,,,,,,
NGR is from the 1950s record and is near Sparrowpit. Altitudes match.,,,,,,,,,,
