LOCH TAY (THE MANSE ARDEONAIG),,,,,,,,,,,,,,,,,,,,
Grid ref,NN682369,Long,-4.143046,Lat,56.505646,Elevation,450,ft,,,,,,,,,,,,
Station no,5556/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.2,8.21,7.63,10.33,4.25,4.14,4.86,4.72,1.7,,3.13,,,,,
February,,,,,6.93,3.65,1.2,7.07,5.69,7.71,5.1,0.9,1.58,5.69,2.9,,,,,
March,,,,,3.67,2.65,4.1,7.09,1.82,3.09,2.49,3.74,1.44,3.38,0.89,,,,,
April,,,,,2,0.9,8.27,3.62,3.37,3.26,3.61,2.69,3.36,1.18,1.68,,,,,
May,,,,,4.93,1.74,4.08,2.79,2.98,1.95,2.02,3.48,3.13,5.16,2.39,,,,,
June,,,,,4.34,3.61,4.09,4.29,1.16,2.22,1.91,3.26,2.98,2.27,1.46,,,,,
July,,,,,3.8,5.61,3.8,3.13,1.49,5.59,3.52,2.52,3.66,1.97,1.19,,,,,
August,,,,,1.36,4.89,0.03,5.57,4.92,6.07,5.1,3.41,2.51,4.14,0.95,,,,,
September,,,,3.09,6.94,7.88,4.85,6.65,1.72,9.01,3.9,2.15,,5.44,3.22,,,,,
October,,,,5.01,5.97,0.52,1.96,4.79,6.86,5.16,1.39,7.18,,8.79,4.28,,,,,
November,,,,7.54,0.41,7.51,6.23,3.38,4.86,5.62,12.71,2.44,,12.14,,,,,,
December,,,,7.41,8.81,6.93,1.42,10.64,8.75,2.06,7.38,4.59,,9.06,,,,,,
Total,,,,,52.36,54.1,47.66,69.35,47.87,55.88,53.99,41.08,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1947 Feb Mar corr for snow May corr for omissions,,,,,,,,,,,,,,,,,,,,
"Average 1945 52 5"" to 6"" Low rejected",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Station no,5556/5,,,,,,,,,,,,,,,,,,,
Midas,15112,,,,,,,,,,,,,,,,,,,
Hyd Stn,861635,,,,,,,,,,,,,,,,,,,
