FINTRY (SIR J DE GRAHAM'S CASTLE),,,,,,,,,,
Grid ref,NS 68132 85848,Long,-4.118637,Lat,56.047281,Elevation,750,ft,,
Station no,RR8783,,,,,,,,,
,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859
January,,,,,7.2,1.9,,,,
February,,,,,4,0.5,,,,
March,,,,,4,6.1,,,,
April,,,,,0.8,8.6,,,,
May,,,,,5.1,2,,,,
June,,,,,8.5,1.6,,,,
July,,,,,3.7,1.7,,,,
August,,,,,4.1,6.7,,,,
September,,,,4.4,3.6,1.3,,,,
October,,,,7.8,5.7,7.4,,,,
November,,,,4.8,4.6,5,,,,
December,,,,1.4,8.2,2.4,,,,
Total,,,,,59.5,45.2,,,,
,,,,,,,,,,
https://canmore.org.uk/site/45283/sir-john-de-grahams-castle,,,,,,,,,,
aka Dundaff Castle aka Graham's Castle,,,,,,,,,,
RFI gives it as 'Fintry Hills' (Source of the Endrick) which it is nearby,,,,,,,,,,
,,,,,,,,,,
Station no,RR8783,,,,,,,,,
Midas,,,,,,,,,,
Hyd Stn,,,,,,,,,,
