LIVERPOOL WEST DERBY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref, SJ394930,Long,-2.91282,Lat,53.430714,Elevation,165,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862
January,,,,,,,,,,,,0.9,1.46,0.5,4.91,3.45,2.18,1.95,,2.57,2.29,2.61,2.35,3.18,3.11,2.2,2.59,1.68,1.99,3.11,1.76,3.39,4.05,2.82,2.15,0.31,2.87,2.33,1.4,0.86,3.16,0.44,2.14
February,,,,,,,,,,,,2.78,1.03,3.5,1.91,2.96,2.29,2.86,2.71,1.81,2.07,1.28,0.94,0.71,4.03,1.6,0.69,1.01,4.63,1.22,1.96,1.93,3.65,1.5,1.88,2.85,1.86,1.25,0.12,1.83,1.15,1.96,0.46
March,,,,,,,,,,,0.33,2.56,1.86,1.68,1.81,2.56,3.61,1.8,1.87,2.43,0.35,1.72,3.97,1.15,1.93,1.85,1.37,3.68,2.99,0.73,1.13,3.41,0.71,1.22,1.03,2.87,0.98,2.04,1.96,3.12,2.32,3.37,3.18
April,,,,,,,,,,,4.13,1.63,1.79,2.32,1.67,1.59,2.13,1.73,2.47,0.96,1.25,0.8,0.12,5.2,1.09,1.28,4.57,1.59,2.66,2.15,2.31,1.33,0.35,1.23,0.74,0.45,2.78,2.68,2.75,3.85,0.95,1.5,2.06
May,,,,,,,,,,,4.07,0.93,2.84,0.51,1.21,2.45,0.12,1.5,2.81,0.62,3.78,3.48,2.45,3.58,0.15,2.14,1.27,3.25,1.92,2.63,1.7,2.07,1.88,1.37,1.41,2.22,2.29,2.74,3.27,0.6,2.81,1.09,5.81
June,,,,,,,,,,,3.77,2.22,3,3.77,1.52,2.43,2.46,3.06,5.56,3.11,2.97,2.17,2.1,1.72,1.62,2.41,1.99,2.61,4.12,1.22,1.43,4.6,4.74,3.88,1.58,3.51,2.15,3.67,1.75,2.41,4.37,1.98,1.76
July,,,,,,,,,,,2.48,3.43,2.14,2.42,6.78,2.92,3.65,2.25,2.4,5.08,2.82,5.63,4.38,3.2,3.21,1.84,3.46,1.99,3.13,3.81,3.94,2.66,3.92,5.4,3,5.75,4.11,2.72,2.43,1.81,1.88,3.5,2.56
August,,,,,,,,,,,6.07,4.17,5.02,4.11,3.34,1.27,1.12,3.06,4.16,2.49,4.07,5.44,1.44,3.74,2.35,6.19,4.27,3.43,5.07,3.39,4.25,2.91,6.36,2.41,3.1,2.55,2.79,3.09,2.57,4.77,5.76,2.65,4.5
September,,,,,,,,,,,4.15,3.36,1.35,2.68,3.05,3.52,3.59,3.52,2.59,4.77,2.9,3.96,2.26,0.66,3.66,2.2,1.72,5.34,2.69,3.89,2.39,1.94,2.83,1.99,2.48,1.06,4.08,2.77,5.83,4.44,2.22,3.71,2.95
October,,,,,,,,,,,1.87,3.56,3.3,3.83,2.62,4.68,3.45,4.43,4.01,2.01,3.78,6.06,2.11,7.07,2.27,3.49,4.94,4.92,4.08,3.85,2.89,4.24,4.66,3.66,1.76,4.96,1.76,2.02,3.42,3.48,3.52,2.08,
November,,,,,,,,,,,5.34,4.96,3.19,4.13,1.48,3.01,6.27,3.63,3.46,3.95,4.85,2.73,4.58,3.56,1.58,2.78,2.52,2.67,2.64,3.94,2.98,2.67,6.08,2.01,4.6,0.73,0.87,1.75,1.99,2.11,1.6,2.92,
December,,,,,,,,,,,2.65,2.58,5.6,5.48,0.86,0.95,3.44,2.54,1.35,2.33,0.62,3.91,1.28,0.51,0.21,4.28,2.07,4.92,2.21,3.29,1.42,0.63,4.33,0.75,3.16,1.53,4.39,1.48,3.48,2.65,2.56,1.88,
Total,,,,,,33.37,23.43,31.76,38.95,33.3,37.82,33.08,32.58,34.93,31.16,31.79,34.31,32.33,33.39,32.13,31.75,39.79,27.98,34.28,25.21,32.26,31.46,37.09,38.13,33.23,28.16,31.78,43.56,28.24,26.89,28.79,30.93,28.54,30.97,31.93,32.3,27.08,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERROR_TYRain_1860-1869_04_pt3-page-030.csv
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GR  SJ394930 is based on the evidence below ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As the descriptions do not give the exact years in which the gauge was moved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I have chosen  Crosby Green as the mid point of the various Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This is what I managed to find out. I have found the roads on a 1905 map on the National Library of Scotland. Which specific houses they were is more problematic. I have given rough NGRs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As usual the more interesting people turn out to be red herrings.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There was a George Cooke who was the keeper of the Philharmonic Hall. And one whose baptism record names his mother but says 'reputed father Henry Hardmen' whose job was Husbandman.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
However I think this is the correct George Cooke.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"He was born in 1810 to Isaac and Hannah Cooke. This would make him 15 when the rainfall data starts, so I am assuming he was at Holly Lodge with his father.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Holly Lodge was built c1821 by his father, a Quaker cotton broker. The House and grounds were bought in 1912 for use as a girls school. NGR SJ390927",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Most of the folowing info comes from UK censuses and historic maps.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
By 1841 he was living at Uplands - a row of houses further down the same road as Holly Lodge. A distance of about 100 yards. NGR SJ391928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A brother Isaac lived in a house between the 2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1851 he was living at Crosby Green, just across, what were at the time, a couple of fields and the railway line. A distance of 400 yards or so. NGR SJ394930",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
His job is listed as Cotton Broker - ditto brother Isaac.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In 1861 he was at Breckside Park. This is a 4th house which is much further away - about 1.25 miles SW. NGR SJ374926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
His father died at Aughton Springs in 1862 and George was definitely there by 1863 as it gives this as his address in his father's probate record.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1871 George is at Turnpike Rd, Aughton Springs and listed as a retired cotton broker.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He stayed there until his death in 1898.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He was married to Susannah (1812 - 1877) and had an unmarried daughter Hannah (1838-1888).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cecil E Maples was involved with the British Red Cross during WW1, which might be why the records stopped.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Around this time he moved to Ormskirk, where he was a JP after the war.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
He died in 1941.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
