LAMMERMUIR HILLS (KINGSIDE),,,,,,,,,,,,
Grid ref,NT651637,Long,-2.559203,Lat,55.865206,,,,,,,
Station no,5094/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.01,2.08,0.76,2.87,2.02,,,,,,,
February,4.35,0.89,1.22,3.25,2.29,,,,,,,
March,4.42,1.67,0.50,2.64,2.29,,,,,,,
April,3.91,2.79,3.65,0.98,0.83,,,,,,,
May,3.96,1.96,1.97,8.88,2.22,,,,,,,
June,1.63,2.64,3.57,2.86,1.18,,,,,,,
July,3.32,2.13,3.79,2.09,2.14,,,,,,,
August,4.49,3.20,2.79,9.43,0.48,,,,,,,
September,1.44,4.28,3.80,3.53,1.76,,,,,,,
October,0.68,5.28,2.17,5.87,,,,,,,,
November,5.79,4.42,2.97,5.06,,,,,,,,
December,2.72,6.88,2.26,3.23,,,,,,,,
Total,40.72,38.22,29.45,50.69,,,,,,,,
Calc annual,40.72,38.22,29.45,50.69,15.21,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
