LLANGEINOR (BLACKMILL HOSPITAL),,,,,,,,,,,,
Grid ref,SS927874,Long,-3.549768,Lat,51.575220,,,,,,,
Station no,4067/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.91,7.71,2.04,,,,,,,,,
February,5.49,1.48,3.27,,,,,,,,,
March,6.65,6.37,2.97,,,,,,,,,
April,5.39,4.55,3.36,,,,,,,,,
May,2.44,4.14,3.94,,,,,,,,,
June,1.19,3.22,2.24,,,,,,,,,
July,1.62,,7.82,,,,,,,,,
August,6.57,,7.44,,,,,,,,,
September,5.53,,6.11,,,,,,,,,
October,1.49,,3.64,,,,,,,,,
November,10.12,,4.80,,,,,,,,,
December,4.58,,1.62,,,,,,,,,
Total,58.98,,49.25,,,,,,,,,
Calc annual,58.98,27.47,49.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
