"SUDBROOKE (THE MANOR HOUSE)",,,,,,,,,,,,
Grid ref,TF033761,Long,-0.452450,Lat,53.271836,,,,,,,
Station no,2557/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.67,1.42,0.92,,,,,,,,,
February,2.34,0.47,1.29,,,,,,,,,
March,3.01,2.33,0.76,,,,,,,,,
April,1.06,0.99,1.64,,,,,,,,,
May,2.72,1.35,3.04,,,,,,,,,
June,1.03,2.10,1.86,,,,,,,,,
July,1.44,0.47,2.23,,,,,,,,,
August,5.28,1.70,1.36,,,,,,,,,
September,0.94,2.07,1.08,,,,,,,,,
October,1.62,1.69,2.26,,,,,,,,,
November,3.84,2.29,1.01,,,,,,,,,
December,1.37,1.29,1.00,,,,,,,,,
Total,26.32,18.17,18.45,,,,,,,,,
Calc annual,26.32,18.17,18.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
