"SOUTHMINSTER (THE NEW MOOR)",,,,,,,,,,,,
Grid ref,TL966002,Long,0.841469,Lat,51.666173,,,,,,,
Station no,1282,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.82,1.17,1.00,1.50,2.14,,,,,,,
February,4.30,0.86,0.90,1.80,1.62,,,,,,,
March,1.99,3.02,0.33,2.17,1.18,,,,,,,
April,2.57,1.10,2.03,0.27,0.18,,,,,,,
May,2.27,1.40,1.30,1.53,4.28,,,,,,,
June,0.88,1.96,2.38,3.21,1.99,,,,,,,
July,2.52,0.41,3.20,1.92,0.30,,,,,,,
August,2.56,2.38,1.54,2.75,2.26,,,,,,,
September,3.06,4.94,1.89,0.82,1.25,,,,,,,
October,0.83,1.73,1.68,1.54,3.69,,,,,,,
November,2.71,4.30,0.81,2.59,0.71,,,,,,,
December,1.20,2.11,0.59,0.83,1.32,,,,,,,
Total,26.71,25.38,17.65,20.93,20.92,,,,,,,
Calc annual,26.71,25.38,17.65,20.93,20.92,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
