ST-PANCRAS-ST-AUGUSTINE-ROAD-OLD-GAUGE,,,,,,,,,,
Grid ref,TQ298846,Long,-0.12954068,Lat,51.545375,Elevation,150,ft.,,
Station no,RR7739,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,0.58,0.82,2.16,2.3,1.27,4.11,0.88,1.94,
February,,0.99,1.22,0.97,2.61,0.89,1.93,1.16,1.73,
March,,2.39,2.07,2.44,1.63,3.35,1.08,0.99,2.27,
April,,2.14,0.55,2.29,1.1,1.74,0.54,3.36,2.53,
May,,0.9,2.86,3.14,1.88,0.93,1.16,1.76,1.97,
June,,1.28,3.46,6.78,1.04,4.6,3.08,2.11,1.29,
July,,5.51,1.44,5.45,2.2,1.7,0.61,2.04,3.28,
August,,1.78,3.6,4.38,1.2,2.36,0.87,2.03,2.91,
September,,1.72,1.11,2.77,1.42,2.35,1.69,0.64,1.35,
October,,2.18,1.6,6,1.93,1.49,3.21,2.47,1.87,
November,,0.63,1.99,1.9,1.85,3.52,4.14,2.2,0.76,
December,,3.07,1.58,1.33,1.91,0.9,2.02,3.85,1.89,
Total,,23.17,22.3,39.61,21.07,25.1,24.44,23.49,23.79,
,,,,,,,,,,
NGR is on St Augustines Road at the NE end where altitudes match.,,,,,,,,,,
