HORSHAM-MANOR-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ171305,Long,-0.330337,Lat,51.061905,Elevation,140,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,,1.16,3.13,2.37,0.87,2.04,4.83,2.94,1.07,2.65,0.59,3.27,4.19,1.27,1.11,2.89,5.09,1.7,5.86,1.26,1.97,1.06,3.41,1.48,2.7,5.21,0.83,4.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,,2.67,0.92,0.04,1.23,3.72,2.26,0.38,0.45,4.12,1.57,3.12,6.77,1.69,1.76,2.05,4.15,0.88,2.9,1.49,1.25,0.53,4.41,1.59,2.47,1.33,5,5.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,,2.03,2,2.75,1.16,0.64,1.89,2.33,3.49,5.34,1.44,0.83,1.4,2.59,2.58,3.85,1.35,4.19,1.41,0.97,2.7,4.03,1.48,1.83,4.58,3.15,5.06,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,,1.76,2.49,0.65,1.12,0.04,3.28,2.28,0.41,2.61,1.17,3.27,0.74,2.73,1.29,2.82,1.65,1.66,0.75,3.98,2.6,1.55,2.21,1.4,0.08,3.46,1.66,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,,2.74,1.75,2.58,1.47,0.5,2.05,0.34,0.35,1.04,3.92,1.69,1.74,1.27,2.77,3.32,3.76,0.68,1.86,2.01,2.34,1.65,2.38,1.01,1.39,2.43,1.35,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,,0.55,2.85,1.26,3.24,1.04,2.51,0.28,3.05,1.84,1.3,0.84,3.69,1.99,3.17,3.58,1.13,4.41,1.68,2.17,2.15,2.8,3.7,2.29,2.75,0.44,0.42,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,,1.78,3.87,2.56,2.71,2.97,6.92,3.91,1.81,2.43,1.28,1.99,1.6,3.25,1.29,3.93,0.95,0.73,0.81,1.04,2.38,2.35,3.05,0.67,1.21,3.96,1.6,3.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,,2.38,3.38,4.71,2.88,0.74,2.69,3.57,2.42,3.35,1.55,0.42,2.3,2.39,5.04,4.46,1.73,3.77,1.1,2.2,3.88,2.55,2.35,2.16,7.17,1.53,1.28,1.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,,1.08,1.34,1.89,2.03,2.37,2.6,0.55,7.41,2.73,1.03,3.15,1.68,2.36,1.21,3.83,1.99,2.07,1.23,0.68,1.47,3.35,0.3,1.35,3.92,2.87,1.26,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,,6.32,1.1,8.02,4.77,4.73,3.64,4.35,4.77,0.86,4.69,2.43,2.31,4.52,2.93,7.56,2.55,1.39,5,5.34,2.1,6.41,2.67,5.58,3.39,4.45,1.6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
