"BUCKIE (ROCHOMIE)",,,,,,,,,,,,
Grid ref,NJ442632,Long,-2.936697,Lat,57.655230,,,,,,,
Station no,5668,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.94,1.11,1.64,1.28,,1.96,1.98,3.34,4.01,5.34,,
February,1.97,1.40,1.57,1.97,,1.50,2.27,2.96,0.36,2.02,,
March,2.40,2.36,0.35,0.83,,0.69,2.42,1.69,1.29,1.16,,
April,2.04,1.30,1.93,0.61,,1.86,0.87,1.88,2.30,1.54,,
May,0.58,1.04,1.46,4.17,,0.53,1.52,2.99,0.66,0.43,,
June,1.85,2.60,2.66,2.12,,3.22,2.50,1.92,1.06,3.77,,
July,3.19,1.32,3.69,2.85,,4.33,5.70,6.92,2.78,3.16,,
August,3.90,3.90,1.53,2.65,,2.91,4.90,5.31,1.20,6.60,,
September,0.84,3.64,1.52,2.48,,2.58,2.18,2.52,1.01,2.36,,
October,0.92,1.88,0.53,4.29,,2.18,1.70,1.49,2.98,4.58,,
November,4.64,2.98,1.88,1.98,,1.71,2.31,1.16,4.49,2.82,,
December,2.09,2.87,2.15,4.18,,3.28,5.60,3.30,2.91,1.15,,
Total,27.36,26.40,20.91,29.41,,26.75,33.95,35.48,25.05,34.93,,
Calc annual,27.36,26.40,20.91,29.41,0.00,26.75,33.95,35.48,25.05,34.93,,
Difference,-0.00,0.00,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,,
