CATTON RECTORY (YORK),,,,,,,,,,
,,,,,,,,,,
Station no,RR2163,,,,,,,,,
,MISFILED,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,1.86,1.11,1.25,1.08,2.04,3.4,0.64,,0.67,2.59
February,1.01,0.06,1.77,2.39,3,0.02,0.62,,1.21,1.31
March,1.73,1.49,1.14,0.56,1.31,2.82,2.56,,1.65,1.31
April,0.91,1.76,1.23,0.46,2.34,1.43,0.78,,2.67,1.97
May,2.19,2.08,3.03,2.55,2.32,0.62,0.81,,1.93,3.61
June,1.31,0.41,5.2,1.11,5,2.96,2.26,,1.62,1.11
July,2.96,3.84,1.97,2.14,3.35,4.85,2.02,,0.39,2.76
August,3.4,3.25,2.96,2.45,2.41,2.5,1.62,,3.74,0.35
September,1.93,1.6,1.25,1.73,1.42,0.97,4.07,,0.82,2.68
October,1.25,3.36,4.82,2.08,3.67,3.63,4.34,,2.94,2
November,2.98,-999,1.86,2.78,1.04,2.5,1.76,,2.83,0.88
December,1.39,-999,0.83,2.84,1.73,2.09,3.32,,2.06,2.87
Total,22.92,25.46,27.31,22.17,29.63,27.79,24.8,,22.53,23.44
Calc annual,22.92,0,27.31,22.17,29.63,27.79,24.8,0,22.53,23.44
Difference,0,-999,0,0,0,0,0,NaN,0,0
