HAMPSTEAD-GARDEN-SUBURB-HURST-CLOSE,,,,,,,,,,
Grid ref,TQ257883,Long,-0.18731287,Lat,51.579554,Elevation,260,ft.,,
Station no,862/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.07,2.75,4.13,1.45,2.72,2.15,2.09
February,,,,2.43,1.73,0.5,3.15,2.63,0.08,2.71
March,,,,2.44,1.16,0.98,1.22,1.37,1.87,1.81
April,,,,0.32,0.53,1.17,0.24,1.7,2.5,0.61
May,,,,2.07,4.79,0.51,1.12,2.66,0.68,1.98
June,,,,3.47,2.16,2.8,0.79,4.98,0.97,1.47
July,,,,2.99,0.29,4.92,4.32,2.3,1.29,3.24
August,,,,3.45,1.12,6.01,2.48,4.5,1.55,2.37
September,,,2.05,2,1.81,2.32,2.43,4.4,0.06,4.72
October,,,3.39,2.55,3.83,2.65,1.99,2.86,2.24,6.14
November,,,1.24,3.98,1.01,0.47,2.57,2.31,2.45,4.6
December,,,0.69,2,2.19,3.23,2.05,3.11,3.73,2.85
Total,,,,28.77,23.37,29.69,23.81,35.54,19.57,34.59
,,,,,,,,,,
NGR is from the 1950s record and is on Hurst Close. Altitudes match.,,,,,,,,,,
MIDAS src_id 5595 ends 1973,,,,,,,,,,
