"BOWLAND FOREST, HIGH SALTER",,,,,,,,,,,
Grid ref,SD617622,Long,-2.586531,Lat,54.054323,Elevation,1014,ft,,,
Station no,3043,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,
February,,,,,,,,,,,
March,,,,,,,,,,,
April,,,,,,,,,,,
May,,,,,,,,,,,
June,,,,,,,,,,,
July,,,3.54,,,,,,,,
August,,,7.17,,,,,,,,
September,,,5.24,,,,,,,,
October,,,1.31,,,,,,,,
November,,,3.32,,,,,,,,
December,,,6.25,,,,,,,,
Total,,,,,,,,,,,
Calc annual,0,0,26.83,0,0,0,0,0,0,0,0
Difference,0,0,26.83,0,0,0,0,0,0,0,0
,,,,,,,,,,,
"short, complete record, same observer and elevation as main site; assume second gauge hence same location",,,,,,,,,,,
