"WHITE HOLME RESERVOIR, BLACKSTONE EDGE - gauge on roof",,,,,,,,,,,,,,,,,,,,
Grid ref,SD972164,Long,-2.0438289,Lat,53.644102,Elevation,1520,ft,,,,,,,,,,,,
Station no,RR356,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,0.33,0.72,0.77,0.53,8.25,2.76,3.25,4.05,0.4,2.07,6.4,,,,,2.05,5,1.9,,
February,2.15,1.46,0.56,4.07,6.05,4.5,2.06,4.5,0.2,3,2.6,,,,,0.9,1.8,2.9,,
March,0.77,3.98,2.5,1.38,4.2,3.72,4.5,0.44,2.25,4.5,0.2,,,,,2.09,2.7,1.4,,
April,2.99,2.33,2.7,3.59,0.97,1.54,2.15,0.43,1.9,1.25,0.15,,,,,2.3,4.18,2.4,,
May,3.3,0.52,1.82,1.12,0.8,2.8,0.25,1.05,2.8,0,3.4,,,,,1.9,1,3.6,,
June,4.89,1.9,4.4,4.21,3.3,1.65,4.4,2.83,3.8,2.72,2.4,,,,,3.8,2.6,2.6,,
July,2.85,3.72,1.57,2.6,6.05,1.4,6.75,2.75,3.8,4,4.7,,,,,3.8,3.2,0.55,,
August,2.39,2.95,4.6,3.94,2.7,1.6,2.25,1.52,6.4,3.28,4.6,,,,,5,5.5,1.7,,
September,6.56,4.65,0.53,2.64,2.39,5.9,2.9,4.03,1.3,5.02,5,,,,,3.6,1.06,3.6,,
October,1.31,4.36,3.63,3.9,1.5,5.45,3.7,6.07,4.65,2.4,2.08,,,,,4.36,5.2,4.5,,
November,4.34,5.96,4.03,6.72,2.58,4.08,6.14,4.9,3,4.6,5.02,,,,,2.9,3.7,4.3,,
December,1.7,4.6,4.52,12.67,1.15,1.08,2.9,5.6,2.05,2.95,0.35,,,,,7.15,1.2,6.3,,
Total,33.58,37.15,31.63,47.37,39.94,36.48,41.25,38.17,32.55,35.79,36.9,,,,22.64,39.85,37.14,35.75,,
,,,,,,,,,,,,,,,,,,,,
Elevation fits with top of the old packhorse road across the Edge but no buildings for the roof gauge,,,,,,,,,,,,,,,,,,,,
Maybe location at SD968178 - The Coach and Horses but elevation there only 1245',,,,,,,,,,,,,,,,,,,,
