DRIFFIELD - LOCKWOOD ST,,,,,,,,
Grid ref,TA025574,Long,-0.438,Lat,54.002,Elevation,60,ft
Station no,RR3119,,,,,,,
,,,,,,,,
,1902,1903,1904,1905,1906,1907,1908,1909
January,,2.04,2.08,0.67,3.11,1.39,,
February,,1.08,2.90,1.32,1.94,1.99,,
March,,2.72,1.73,2.36,2.07,1.33,,
April,,2.40,1.18,2.22,1.10,1.75,,
May,,3.14,2.08,0.71,2.16,3.54,,
June,,1.85,0.39,1.75,1.05,2.57,,
July,,3.15,1.96,1.32,2.44,0.76,,
August,1.99,2.42,3.52,3.08,2.34,2.03,,
September,0.70,3.49,0.65,1.94,0.88,0.75,,
October,2.59,6.35,0.54,2.50,4.56,5.02,,
November,1.50,1.57,2.60,4.12,3.94,2.57,,
December,2.35,1.22,2.19,0.35,1.87,3.87,,
Total,,31.43,21.82,22.34,27.46,27.57,,
,,,,,,,,
TYRain_1900-1909_22_pt1/025,,,,,,,,
,,,,,,,,
# The gauge came from Beverley Road in 1902.,,,,,,,,
# The rainfall sheet is shared with the Beverley Road site.,,,,,,,,
